Rank,Team,Games,W-L,Assists,Per Game,Date,Academic Year
23,Binghamton (America East),10,9-1,67,6.70,04/12/2017,2017.0
24,Stony Brook (America East),10,5-5,66,6.60,04/12/2017,2017.0
25,Michigan (Big Ten),11,8-3,71,6.45,04/12/2017,2017.0
26,Bryant (NEC),12,7-5,77,6.42,04/12/2017,2017.0
27,Furman (SoCon),11,5-6,70,6.36,04/12/2017,2017.0
28,Cornell (Ivy League),10,3-7,63,6.30,04/12/2017,2017.0
29,Johns Hopkins (Big Ten),10,6-4,62,6.20,04/12/2017,2017.0
30,Army West Point (Patriot),11,10-1,67,6.09,04/12/2017,2017.0
31,Harvard (Ivy League),10,5-5,60,6.00,04/12/2017,2017.0
31,Notre Dame (ACC),9,6-3,54,6.00,04/12/2017,2017.0
33,Hobart (NEC),11,5-6,65,5.91,04/12/2017,2017.0
33,Colgate (Patriot),11,4-7,65,5.91,04/12/2017,2017.0
33,Providence (Big East),11,8-3,65,5.91,04/12/2017,2017.0
36,Quinnipiac (MAAC),9,2-7,53,5.89,04/12/2017,2017.0
37,Navy (Patriot),12,5-7,70,5.83,04/12/2017,2017.0
38,Siena (MAAC),11,1-10,64,5.82,04/12/2017,2017.0
39,Sacred Heart (NEC),10,6-4,58,5.80,04/12/2017,2017.0
40,Jacksonville (SoCon),10,1-9,57,5.70,04/12/2017,2017.0
41,Ohio St. (Big Ten),12,10-2,68,5.67,04/12/2017,2017.0
41,Air Force (SoCon),12,7-5,68,5.67,04/12/2017,2017.0
43,Massachusetts (CAA),10,4-6,56,5.60,04/12/2017,2017.0
44,Delaware (CAA),12,7-5,66,5.50,04/12/2017,2017.0
44,Mercer (SoCon),10,4-6,55,5.50,04/12/2017,2017.0
46,North Carolina (ACC),11,6-5,60,5.45,04/12/2017,2017.0
46,Marist (MAAC),11,6-5,60,5.45,04/12/2017,2017.0
46,VMI (SoCon),11,2-9,60,5.45,04/12/2017,2017.0
49,Mount St. Mary's (NEC),10,4-6,53,5.30,04/12/2017,2017.0
50,Georgetown (Big East),11,2-9,57,5.18,04/12/2017,2017.0
50,Manhattan (MAAC),11,2-9,57,5.18,04/12/2017,2017.0
52,Monmouth (MAAC),12,9-3,62,5.17,04/12/2017,2017.0
53,Penn (Ivy League),9,4-5,46,5.11,04/12/2017,2017.0
54,Detroit Mercy (MAAC),12,5-7,60,5.00,04/12/2017,2017.0
55,Drexel (CAA),10,4-6,49,4.90,04/12/2017,2017.0
56,Towson (CAA),9,6-3,42,4.67,04/12/2017,2017.0
57,St. John's (NY) (Big East),11,1-10,51,4.64,04/12/2017,2017.0
58,Lafayette (Patriot),12,2-10,54,4.50,04/12/2017,2017.0
58,Marquette (Big East),10,6-4,45,4.50,04/12/2017,2017.0
58,Bellarmine (SoCon),10,3-7,45,4.50,04/12/2017,2017.0
61,High Point (SoCon),11,3-8,49,4.45,04/12/2017,2017.0
62,Dartmouth (Ivy League),10,2-8,43,4.30,04/12/2017,2017.0
63,Holy Cross (Patriot),11,3-8,46,4.18,04/12/2017,2017.0
63,Cleveland St. (Independent),11,3-8,46,4.18,04/12/2017,2017.0
65,UMBC (America East),10,4-6,41,4.10,04/12/2017,2017.0
66,Fairfield (CAA),11,3-8,44,4.00,04/12/2017,2017.0
66,Wagner (NEC),12,5-7,48,4.00,04/12/2017,2017.0
68,Saint Joseph's (NEC),11,3-8,41,3.73,04/12/2017,2017.0
69,Hampton (DI Independent),7,1-6,23,3.29,04/12/2017,2017.0
-,UMass Lowell (America East),13,2-11,75,5.77,04/12/2017,2017.0
1,UAlbany (America East),10,9-1,103,10.30,04/11/2017,2017.0
2,Virginia (ACC),13,8-5,126,9.69,04/11/2017,2017.0
3,Loyola Maryland (Patriot),11,7-4,102,9.27,04/11/2017,2017.0
4,Princeton (Ivy League),11,7-4,99,9.00,04/11/2017,2017.0
5,Syracuse (ACC),10,9-1,89,8.90,04/11/2017,2017.0
6,Yale (Ivy League),10,7-3,86,8.60,04/11/2017,2017.0
7,Penn St. (Big Ten),11,10-1,90,8.18,04/11/2017,2017.0
8,Brown (Ivy League),9,5-4,72,8.00,04/11/2017,2017.0
9,Duke (ACC),12,9-3,95,7.92,04/11/2017,2017.0
10,Villanova (Big East),11,6-5,85,7.73,04/11/2017,2017.0
11,Denver (Big East),10,8-2,77,7.70,04/11/2017,2017.0
12,Maryland (Big Ten),9,7-2,66,7.33,04/11/2017,2017.0
13,Richmond (SoCon),11,9-2,80,7.27,04/11/2017,2017.0
14,Lehigh (Patriot),11,6-5,78,7.09,04/11/2017,2017.0
14,Rutgers (Big Ten),11,9-2,78,7.09,04/11/2017,2017.0
16,Robert Morris (NEC),12,8-4,85,7.08,04/11/2017,2017.0
17,Boston U. (Patriot),12,9-3,84,7.00,04/11/2017,2017.0
18,Canisius (MAAC),10,5-5,69,6.90,04/11/2017,2017.0
18,Hartford (America East),10,4-6,69,6.90,04/11/2017,2017.0
18,Hofstra (CAA),10,10-0,69,6.90,04/11/2017,2017.0
21,Vermont (America East),11,5-6,75,6.82,04/11/2017,2017.0
21,Bucknell (Patriot),11,4-7,75,6.82,04/11/2017,2017.0
23,Binghamton (America East),10,9-1,67,6.70,04/11/2017,2017.0
24,Stony Brook (America East),10,5-5,66,6.60,04/11/2017,2017.0
25,Michigan (Big Ten),11,8-3,71,6.45,04/11/2017,2017.0
26,Bryant (NEC),12,7-5,77,6.42,04/11/2017,2017.0
27,Furman (SoCon),11,5-6,70,6.36,04/11/2017,2017.0
28,Cornell (Ivy League),10,3-7,63,6.30,04/11/2017,2017.0
29,Johns Hopkins (Big Ten),10,6-4,62,6.20,04/11/2017,2017.0
30,Army West Point (Patriot),11,10-1,67,6.09,04/11/2017,2017.0
31,Harvard (Ivy League),10,5-5,60,6.00,04/11/2017,2017.0
31,Notre Dame (ACC),9,6-3,54,6.00,04/11/2017,2017.0
33,Hobart (NEC),11,5-6,65,5.91,04/11/2017,2017.0
33,Colgate (Patriot),11,4-7,65,5.91,04/11/2017,2017.0
33,Providence (Big East),11,8-3,65,5.91,04/11/2017,2017.0
36,Quinnipiac (MAAC),9,2-7,53,5.89,04/11/2017,2017.0
37,Navy (Patriot),12,5-7,70,5.83,04/11/2017,2017.0
38,Siena (MAAC),11,1-10,64,5.82,04/11/2017,2017.0
39,Sacred Heart (NEC),10,6-4,58,5.80,04/11/2017,2017.0
40,Jacksonville (SoCon),10,1-9,57,5.70,04/11/2017,2017.0
41,Ohio St. (Big Ten),12,10-2,68,5.67,04/11/2017,2017.0
41,Air Force (SoCon),12,7-5,68,5.67,04/11/2017,2017.0
43,Massachusetts (CAA),10,4-6,56,5.60,04/11/2017,2017.0
44,Delaware (CAA),12,7-5,66,5.50,04/11/2017,2017.0
44,Mercer (SoCon),10,4-6,55,5.50,04/11/2017,2017.0
46,North Carolina (ACC),11,6-5,60,5.45,04/11/2017,2017.0
46,Marist (MAAC),11,6-5,60,5.45,04/11/2017,2017.0
46,VMI (SoCon),11,2-9,60,5.45,04/11/2017,2017.0
49,Mount St. Mary's (NEC),10,4-6,53,5.30,04/11/2017,2017.0
50,Georgetown (Big East),11,2-9,57,5.18,04/11/2017,2017.0
50,Manhattan (MAAC),11,2-9,57,5.18,04/11/2017,2017.0
52,Monmouth (MAAC),12,9-3,62,5.17,04/11/2017,2017.0
53,Penn (Ivy League),9,4-5,46,5.11,04/11/2017,2017.0
54,Detroit Mercy (MAAC),12,5-7,60,5.00,04/11/2017,2017.0
55,Drexel (CAA),10,4-6,49,4.90,04/11/2017,2017.0
56,Towson (CAA),9,6-3,42,4.67,04/11/2017,2017.0
57,St. John's (NY) (Big East),11,1-10,51,4.64,04/11/2017,2017.0
58,Lafayette (Patriot),12,2-10,54,4.50,04/11/2017,2017.0
58,Marquette (Big East),10,6-4,45,4.50,04/11/2017,2017.0
58,Bellarmine (SoCon),10,3-7,45,4.50,04/11/2017,2017.0
61,High Point (SoCon),11,3-8,49,4.45,04/11/2017,2017.0
62,Dartmouth (Ivy League),10,2-8,43,4.30,04/11/2017,2017.0
63,Holy Cross (Patriot),11,3-8,46,4.18,04/11/2017,2017.0
63,Cleveland St. (Independent),11,3-8,46,4.18,04/11/2017,2017.0
65,UMBC (America East),10,4-6,41,4.10,04/11/2017,2017.0
66,Fairfield (CAA),11,3-8,44,4.00,04/11/2017,2017.0
66,Wagner (NEC),12,5-7,48,4.00,04/11/2017,2017.0
68,Saint Joseph's (NEC),11,3-8,41,3.73,04/11/2017,2017.0
69,Hampton (DI Independent),7,1-6,23,3.29,04/11/2017,2017.0
-,UMass Lowell (America East),13,2-11,75,5.77,04/11/2017,2017.0
1,UAlbany (America East),10,9-1,103,10.30,04/10/2017,2017.0
2,Virginia (ACC),12,7-5,117,9.75,04/10/2017,2017.0
3,Loyola Maryland (Patriot),11,7-4,102,9.27,04/10/2017,2017.0
4,Princeton (Ivy League),10,7-3,92,9.20,04/10/2017,2017.0
5,Syracuse (ACC),9,8-1,81,9.00,04/10/2017,2017.0
6,Yale (Ivy League),10,7-3,86,8.60,04/10/2017,2017.0
7,Penn St. (Big Ten),11,10-1,90,8.18,04/10/2017,2017.0
8,Brown (Ivy League),9,5-4,72,8.00,04/10/2017,2017.0
9,Duke (ACC),12,9-3,95,7.92,04/10/2017,2017.0
10,Villanova (Big East),11,6-5,85,7.73,04/10/2017,2017.0
11,Denver (Big East),10,8-2,77,7.70,04/10/2017,2017.0
12,Robert Morris (NEC),11,8-3,81,7.36,04/10/2017,2017.0
13,Maryland (Big Ten),9,7-2,66,7.33,04/10/2017,2017.0
14,Richmond (SoCon),11,9-2,80,7.27,04/10/2017,2017.0
15,Rutgers (Big Ten),11,9-2,78,7.09,04/10/2017,2017.0
16,Boston U. (Patriot),12,9-3,84,7.00,04/10/2017,2017.0
17,Canisius (MAAC),10,5-5,69,6.90,04/10/2017,2017.0
17,Hartford (America East),10,4-6,69,6.90,04/10/2017,2017.0
17,Hofstra (CAA),10,10-0,69,6.90,04/10/2017,2017.0
20,Vermont (America East),11,5-6,75,6.82,04/10/2017,2017.0
20,Bucknell (Patriot),11,4-7,75,6.82,04/10/2017,2017.0
22,Binghamton (America East),10,9-1,67,6.70,04/10/2017,2017.0
22,Lehigh (Patriot),10,5-5,67,6.70,04/10/2017,2017.0
24,Stony Brook (America East),10,5-5,66,6.60,04/10/2017,2017.0
25,Michigan (Big Ten),11,8-3,71,6.45,04/10/2017,2017.0
26,Bryant (NEC),12,7-5,77,6.42,04/10/2017,2017.0
27,Furman (SoCon),11,5-6,70,6.36,04/10/2017,2017.0
28,Cornell (Ivy League),9,3-6,57,6.33,04/10/2017,2017.0
29,Johns Hopkins (Big Ten),10,6-4,62,6.20,04/10/2017,2017.0
30,Notre Dame (ACC),8,5-3,49,6.13,04/10/2017,2017.0
31,Army West Point (Patriot),11,10-1,67,6.09,04/10/2017,2017.0
32,Harvard (Ivy League),10,5-5,60,6.00,04/10/2017,2017.0
33,Colgate (Patriot),11,4-7,65,5.91,04/10/2017,2017.0
33,Hobart (NEC),11,5-6,65,5.91,04/10/2017,2017.0
33,Providence (Big East),11,8-3,65,5.91,04/10/2017,2017.0
36,Quinnipiac (MAAC),9,2-7,53,5.89,04/10/2017,2017.0
37,Navy (Patriot),12,5-7,70,5.83,04/10/2017,2017.0
38,Siena (MAAC),11,1-10,64,5.82,04/10/2017,2017.0
39,Sacred Heart (NEC),10,6-4,58,5.80,04/10/2017,2017.0
40,Jacksonville (SoCon),10,1-9,57,5.70,04/10/2017,2017.0
41,Ohio St. (Big Ten),12,10-2,68,5.67,04/10/2017,2017.0
41,Air Force (SoCon),12,7-5,68,5.67,04/10/2017,2017.0
43,Massachusetts (CAA),10,4-6,56,5.60,04/10/2017,2017.0
44,Delaware (CAA),12,7-5,66,5.50,04/10/2017,2017.0
44,Mercer (SoCon),10,4-6,55,5.50,04/10/2017,2017.0
46,North Carolina (ACC),11,6-5,60,5.45,04/10/2017,2017.0
46,VMI (SoCon),11,2-9,60,5.45,04/10/2017,2017.0
46,Marist (MAAC),11,6-5,60,5.45,04/10/2017,2017.0
49,Mount St. Mary's (NEC),10,4-6,53,5.30,04/10/2017,2017.0
50,Georgetown (Big East),11,2-9,57,5.18,04/10/2017,2017.0
50,Manhattan (MAAC),11,2-9,57,5.18,04/10/2017,2017.0
52,Monmouth (MAAC),12,9-3,62,5.17,04/10/2017,2017.0
53,Penn (Ivy League),9,4-5,46,5.11,04/10/2017,2017.0
54,Detroit Mercy (MAAC),12,5-7,60,5.00,04/10/2017,2017.0
55,Drexel (CAA),10,4-6,49,4.90,04/10/2017,2017.0
56,Towson (CAA),9,6-3,42,4.67,04/10/2017,2017.0
57,St. John's (NY) (Big East),11,1-10,51,4.64,04/10/2017,2017.0
58,Bellarmine (SoCon),10,3-7,45,4.50,04/10/2017,2017.0
59,High Point (SoCon),11,3-8,49,4.45,04/10/2017,2017.0
60,Lafayette (Patriot),11,1-10,46,4.18,04/10/2017,2017.0
60,Holy Cross (Patriot),11,3-8,46,4.18,04/10/2017,2017.0
60,Cleveland St. (Independent),11,3-8,46,4.18,04/10/2017,2017.0
63,Marquette (Big East),9,6-3,37,4.11,04/10/2017,2017.0
64,UMBC (America East),10,4-6,41,4.10,04/10/2017,2017.0
65,Fairfield (CAA),11,3-8,44,4.00,04/10/2017,2017.0
65,Wagner (NEC),12,5-7,48,4.00,04/10/2017,2017.0
67,Saint Joseph's (NEC),11,3-8,41,3.73,04/10/2017,2017.0
68,Dartmouth (Ivy League),9,1-8,33,3.67,04/10/2017,2017.0
69,Hampton (DI Independent),7,1-6,23,3.29,04/10/2017,2017.0
-,UMass Lowell (America East),12,2-10,71,5.92,04/10/2017,2017.0
1,UAlbany (America East),10,9-1,103,10.30,04/09/2017,2017.0
2,Virginia (ACC),12,7-5,117,9.75,04/09/2017,2017.0
3,Loyola Maryland (Patriot),11,7-4,102,9.27,04/09/2017,2017.0
4,Princeton (Ivy League),10,7-3,92,9.20,04/09/2017,2017.0
5,Syracuse (ACC),9,8-1,81,9.00,04/09/2017,2017.0
6,Yale (Ivy League),10,7-3,86,8.60,04/09/2017,2017.0
7,Penn St. (Big Ten),11,10-1,90,8.18,04/09/2017,2017.0
8,Brown (Ivy League),9,5-4,72,8.00,04/09/2017,2017.0
9,Duke (ACC),12,9-3,95,7.92,04/09/2017,2017.0
10,Villanova (Big East),11,6-5,85,7.73,04/09/2017,2017.0
11,Denver (Big East),10,8-2,77,7.70,04/09/2017,2017.0
12,Robert Morris (NEC),11,8-3,81,7.36,04/09/2017,2017.0
13,Maryland (Big Ten),9,7-2,66,7.33,04/09/2017,2017.0
14,Richmond (SoCon),11,9-2,80,7.27,04/09/2017,2017.0
15,Rutgers (Big Ten),11,9-2,78,7.09,04/09/2017,2017.0
16,Boston U. (Patriot),12,9-3,84,7.00,04/09/2017,2017.0
17,Canisius (MAAC),10,5-5,69,6.90,04/09/2017,2017.0
17,Hartford (America East),10,4-6,69,6.90,04/09/2017,2017.0
17,Hofstra (CAA),10,10-0,69,6.90,04/09/2017,2017.0
20,Vermont (America East),11,5-6,75,6.82,04/09/2017,2017.0
20,Bucknell (Patriot),11,4-7,75,6.82,04/09/2017,2017.0
22,Binghamton (America East),10,9-1,67,6.70,04/09/2017,2017.0
22,Lehigh (Patriot),10,5-5,67,6.70,04/09/2017,2017.0
24,Stony Brook (America East),10,5-5,66,6.60,04/09/2017,2017.0
25,Michigan (Big Ten),11,8-3,71,6.45,04/09/2017,2017.0
26,Bryant (NEC),12,7-5,77,6.42,04/09/2017,2017.0
27,Furman (SoCon),11,5-6,70,6.36,04/09/2017,2017.0
28,Cornell (Ivy League),9,3-6,57,6.33,04/09/2017,2017.0
29,Johns Hopkins (Big Ten),10,6-4,62,6.20,04/09/2017,2017.0
30,Notre Dame (ACC),8,5-3,49,6.13,04/09/2017,2017.0
31,Army West Point (Patriot),11,10-1,67,6.09,04/09/2017,2017.0
32,Harvard (Ivy League),10,5-5,60,6.00,04/09/2017,2017.0
33,Colgate (Patriot),11,4-7,65,5.91,04/09/2017,2017.0
33,Hobart (NEC),11,5-6,65,5.91,04/09/2017,2017.0
33,Providence (Big East),11,8-3,65,5.91,04/09/2017,2017.0
36,Quinnipiac (MAAC),9,2-7,53,5.89,04/09/2017,2017.0
37,Navy (Patriot),12,5-7,70,5.83,04/09/2017,2017.0
38,Siena (MAAC),11,1-10,64,5.82,04/09/2017,2017.0
39,Sacred Heart (NEC),10,6-4,58,5.80,04/09/2017,2017.0
40,Jacksonville (SoCon),10,1-9,57,5.70,04/09/2017,2017.0
41,Ohio St. (Big Ten),12,10-2,68,5.67,04/09/2017,2017.0
41,Air Force (SoCon),12,7-5,68,5.67,04/09/2017,2017.0
43,Massachusetts (CAA),10,4-6,56,5.60,04/09/2017,2017.0
43,VMI (SoCon),10,2-8,56,5.60,04/09/2017,2017.0
45,Mercer (SoCon),10,4-6,55,5.50,04/09/2017,2017.0
45,Delaware (CAA),12,7-5,66,5.50,04/09/2017,2017.0
47,North Carolina (ACC),11,6-5,60,5.45,04/09/2017,2017.0
47,Marist (MAAC),11,6-5,60,5.45,04/09/2017,2017.0
49,Mount St. Mary's (NEC),10,4-6,53,5.30,04/09/2017,2017.0
50,Manhattan (MAAC),11,2-9,57,5.18,04/09/2017,2017.0
50,Georgetown (Big East),11,2-9,57,5.18,04/09/2017,2017.0
52,Penn (Ivy League),9,4-5,46,5.11,04/09/2017,2017.0
53,Detroit Mercy (MAAC),12,5-7,60,5.00,04/09/2017,2017.0
54,Drexel (CAA),10,4-6,49,4.90,04/09/2017,2017.0
55,Towson (CAA),9,6-3,42,4.67,04/09/2017,2017.0
56,St. John's (NY) (Big East),11,1-10,51,4.64,04/09/2017,2017.0
57,Monmouth (MAAC),11,8-3,50,4.55,04/09/2017,2017.0
58,Bellarmine (SoCon),10,3-7,45,4.50,04/09/2017,2017.0
59,High Point (SoCon),11,3-8,49,4.45,04/09/2017,2017.0
60,Lafayette (Patriot),11,1-10,46,4.18,04/09/2017,2017.0
60,Holy Cross (Patriot),11,3-8,46,4.18,04/09/2017,2017.0
60,Cleveland St. (Independent),11,3-8,46,4.18,04/09/2017,2017.0
63,Marquette (Big East),9,6-3,37,4.11,04/09/2017,2017.0
64,UMBC (America East),10,4-6,41,4.10,04/09/2017,2017.0
65,Fairfield (CAA),11,3-8,44,4.00,04/09/2017,2017.0
65,Wagner (NEC),12,5-7,48,4.00,04/09/2017,2017.0
67,Saint Joseph's (NEC),11,3-8,41,3.73,04/09/2017,2017.0
68,Dartmouth (Ivy League),9,1-8,33,3.67,04/09/2017,2017.0
69,Hampton (DI Independent),7,1-6,23,3.29,04/09/2017,2017.0
-,UMass Lowell (America East),12,2-10,71,5.92,04/09/2017,2017.0
1,UAlbany (America East),9,8-1,94,10.44,04/05/2017,2017.0
2,Virginia (ACC),11,7-4,112,10.18,04/05/2017,2017.0
3,Princeton (Ivy League),9,6-3,89,9.89,04/05/2017,2017.0
4,Loyola Maryland (Patriot),10,6-4,92,9.20,04/05/2017,2017.0
5,Syracuse (ACC),9,8-1,80,8.89,04/05/2017,2017.0
6,Yale (Ivy League),9,6-3,77,8.56,04/05/2017,2017.0
7,Penn St. (Big Ten),10,10-0,85,8.50,04/05/2017,2017.0
8,Duke (ACC),11,8-3,90,8.18,04/05/2017,2017.0
9,Brown (Ivy League),8,4-4,65,8.13,04/05/2017,2017.0
10,Villanova (Big East),10,6-4,81,8.10,04/05/2017,2017.0
11,Denver (Big East),9,7-2,68,7.56,04/05/2017,2017.0
12,Maryland (Big Ten),8,6-2,60,7.50,04/05/2017,2017.0
13,Richmond (SoCon),10,8-2,74,7.40,04/05/2017,2017.0
14,Lehigh (Patriot),9,5-4,65,7.22,04/05/2017,2017.0
15,Boston U. (Patriot),11,9-2,79,7.18,04/05/2017,2017.0
16,Hartford (America East),9,4-5,64,7.11,04/05/2017,2017.0
17,Rutgers (Big Ten),10,8-2,68,6.80,04/05/2017,2017.0
18,Canisius (MAAC),9,4-5,61,6.78,04/05/2017,2017.0
18,Hofstra (CAA),9,9-0,61,6.78,04/05/2017,2017.0
20,Bucknell (Patriot),10,4-6,67,6.70,04/05/2017,2017.0
21,Stony Brook (America East),9,5-4,60,6.67,04/05/2017,2017.0
22,Michigan (Big Ten),10,8-2,66,6.60,04/05/2017,2017.0
22,Robert Morris (NEC),10,7-3,66,6.60,04/05/2017,2017.0
24,Binghamton (America East),9,8-1,59,6.56,04/05/2017,2017.0
25,Furman (SoCon),10,4-6,65,6.50,04/05/2017,2017.0
25,Vermont (America East),10,4-6,65,6.50,04/05/2017,2017.0
27,Bryant (NEC),11,6-5,71,6.45,04/05/2017,2017.0
28,Johns Hopkins (Big Ten),9,6-3,58,6.44,04/05/2017,2017.0
29,Notre Dame (ACC),7,5-2,44,6.29,04/05/2017,2017.0
30,Harvard (Ivy League),9,5-4,56,6.22,04/05/2017,2017.0
31,Army West Point (Patriot),10,9-1,62,6.20,04/05/2017,2017.0
32,Navy (Patriot),11,5-6,68,6.18,04/05/2017,2017.0
33,Cornell (Ivy League),8,2-6,49,6.13,04/05/2017,2017.0
34,Air Force (SoCon),11,7-4,66,6.00,04/05/2017,2017.0
35,Hobart (NEC),10,4-6,59,5.90,04/05/2017,2017.0
36,Sacred Heart (NEC),9,6-3,53,5.89,04/05/2017,2017.0
37,Quinnipiac (MAAC),8,2-6,47,5.88,04/05/2017,2017.0
38,Delaware (CAA),11,7-4,63,5.73,04/05/2017,2017.0
39,Siena (MAAC),10,0-10,57,5.70,04/05/2017,2017.0
39,Colgate (Patriot),10,3-7,57,5.70,04/05/2017,2017.0
41,Ohio St. (Big Ten),11,9-2,62,5.64,04/05/2017,2017.0
42,Providence (Big East),10,7-3,56,5.60,04/05/2017,2017.0
43,Manhattan (MAAC),10,2-8,55,5.50,04/05/2017,2017.0
44,Jacksonville (SoCon),9,0-9,49,5.44,04/05/2017,2017.0
44,Massachusetts (CAA),9,4-5,49,5.44,04/05/2017,2017.0
46,Marist (MAAC),10,5-5,54,5.40,04/05/2017,2017.0
47,Penn (Ivy League),8,4-4,43,5.38,04/05/2017,2017.0
48,Mount St. Mary's (NEC),9,3-6,48,5.33,04/05/2017,2017.0
48,Mercer (SoCon),9,4-5,48,5.33,04/05/2017,2017.0
48,VMI (SoCon),9,2-7,48,5.33,04/05/2017,2017.0
51,Georgetown (Big East),10,2-8,53,5.30,04/05/2017,2017.0
52,Detroit Mercy (MAAC),11,5-6,58,5.27,04/05/2017,2017.0
53,North Carolina (ACC),10,5-5,51,5.10,04/05/2017,2017.0
54,Drexel (CAA),9,3-6,45,5.00,04/05/2017,2017.0
55,St. John's (NY) (Big East),10,1-9,48,4.80,04/05/2017,2017.0
56,High Point (SoCon),10,3-7,46,4.60,04/05/2017,2017.0
56,Monmouth (MAAC),10,7-3,46,4.60,04/05/2017,2017.0
58,Bellarmine (SoCon),9,2-7,40,4.44,04/05/2017,2017.0
59,Towson (CAA),8,5-3,35,4.38,04/05/2017,2017.0
60,UMBC (America East),9,4-5,39,4.33,04/05/2017,2017.0
61,Marquette (Big East),8,5-3,34,4.25,04/05/2017,2017.0
62,Cleveland St. (Independent),11,3-8,46,4.18,04/05/2017,2017.0
63,Lafayette (Patriot),10,1-9,41,4.10,04/05/2017,2017.0
63,Holy Cross (Patriot),10,2-8,41,4.10,04/05/2017,2017.0
65,Wagner (NEC),11,5-6,45,4.09,04/05/2017,2017.0
66,Fairfield (CAA),10,3-7,39,3.90,04/05/2017,2017.0
67,Saint Joseph's (NEC),10,3-7,37,3.70,04/05/2017,2017.0
68,Dartmouth (Ivy League),8,1-7,29,3.63,04/05/2017,2017.0
69,Hampton (DI Independent),6,1-5,20,3.33,04/05/2017,2017.0
-,UMass Lowell (America East),11,2-9,64,5.82,04/05/2017,2017.0
1,UAlbany (America East),9,8-1,94,10.44,04/04/2017,2017.0
2,Virginia (ACC),11,7-4,112,10.18,04/04/2017,2017.0
3,Princeton (Ivy League),9,6-3,89,9.89,04/04/2017,2017.0
4,Loyola Maryland (Patriot),10,6-4,92,9.20,04/04/2017,2017.0
5,Syracuse (ACC),8,7-1,70,8.75,04/04/2017,2017.0
6,Yale (Ivy League),9,6-3,77,8.56,04/04/2017,2017.0
7,Penn St. (Big Ten),10,10-0,85,8.50,04/04/2017,2017.0
8,Duke (ACC),11,8-3,90,8.18,04/04/2017,2017.0
9,Brown (Ivy League),8,4-4,65,8.13,04/04/2017,2017.0
10,Villanova (Big East),10,6-4,81,8.10,04/04/2017,2017.0
11,Denver (Big East),9,7-2,68,7.56,04/04/2017,2017.0
12,Maryland (Big Ten),8,6-2,60,7.50,04/04/2017,2017.0
13,Richmond (SoCon),10,8-2,74,7.40,04/04/2017,2017.0
14,Lehigh (Patriot),9,5-4,65,7.22,04/04/2017,2017.0
15,Boston U. (Patriot),11,9-2,79,7.18,04/04/2017,2017.0
16,Hartford (America East),9,4-5,64,7.11,04/04/2017,2017.0
17,Rutgers (Big Ten),10,8-2,68,6.80,04/04/2017,2017.0
18,Hofstra (CAA),9,9-0,61,6.78,04/04/2017,2017.0
18,Canisius (MAAC),9,4-5,61,6.78,04/04/2017,2017.0
20,Bucknell (Patriot),10,4-6,67,6.70,04/04/2017,2017.0
21,Stony Brook (America East),9,5-4,60,6.67,04/04/2017,2017.0
22,Michigan (Big Ten),10,8-2,66,6.60,04/04/2017,2017.0
22,Robert Morris (NEC),10,7-3,66,6.60,04/04/2017,2017.0
24,Binghamton (America East),9,8-1,59,6.56,04/04/2017,2017.0
25,Vermont (America East),10,4-6,65,6.50,04/04/2017,2017.0
26,Bryant (NEC),11,6-5,71,6.45,04/04/2017,2017.0
27,Johns Hopkins (Big Ten),9,6-3,58,6.44,04/04/2017,2017.0
28,Furman (SoCon),10,4-6,63,6.30,04/04/2017,2017.0
29,Notre Dame (ACC),7,5-2,44,6.29,04/04/2017,2017.0
30,Harvard (Ivy League),9,5-4,56,6.22,04/04/2017,2017.0
31,Army West Point (Patriot),10,9-1,62,6.20,04/04/2017,2017.0
32,Navy (Patriot),11,5-6,68,6.18,04/04/2017,2017.0
33,Cornell (Ivy League),8,2-6,49,6.13,04/04/2017,2017.0
34,Air Force (SoCon),11,7-4,66,6.00,04/04/2017,2017.0
34,Hobart (NEC),9,4-5,54,6.00,04/04/2017,2017.0
36,Sacred Heart (NEC),9,6-3,53,5.89,04/04/2017,2017.0
37,Quinnipiac (MAAC),8,2-6,47,5.88,04/04/2017,2017.0
38,Delaware (CAA),11,7-4,63,5.73,04/04/2017,2017.0
39,Colgate (Patriot),10,3-7,57,5.70,04/04/2017,2017.0
39,Siena (MAAC),10,0-10,57,5.70,04/04/2017,2017.0
41,Ohio St. (Big Ten),11,9-2,62,5.64,04/04/2017,2017.0
42,Providence (Big East),10,7-3,56,5.60,04/04/2017,2017.0
43,Manhattan (MAAC),10,2-8,55,5.50,04/04/2017,2017.0
44,Jacksonville (SoCon),9,0-9,49,5.44,04/04/2017,2017.0
44,Massachusetts (CAA),9,4-5,49,5.44,04/04/2017,2017.0
46,Marist (MAAC),10,5-5,54,5.40,04/04/2017,2017.0
47,Penn (Ivy League),8,4-4,43,5.38,04/04/2017,2017.0
48,Mount St. Mary's (NEC),9,3-6,48,5.33,04/04/2017,2017.0
48,Mercer (SoCon),9,4-5,48,5.33,04/04/2017,2017.0
48,VMI (SoCon),9,2-7,48,5.33,04/04/2017,2017.0
51,Georgetown (Big East),10,2-8,53,5.30,04/04/2017,2017.0
52,Detroit Mercy (MAAC),11,5-6,58,5.27,04/04/2017,2017.0
53,North Carolina (ACC),10,5-5,51,5.10,04/04/2017,2017.0
54,Drexel (CAA),9,3-6,45,5.00,04/04/2017,2017.0
