Rank,Team,Games,W-L,Goals,Goals Allowed,Margin,Date,Academic Year
18,Fairfield (CAA),8,4-4,84,63,2.63,03/17/2015,2015.0
19,Navy (Patriot),8,5-3,83,65,2.25,03/17/2015,2015.0
20,Princeton (Ivy League),6,5-1,77,64,2.17,03/17/2015,2015.0
21,Georgetown (Big East),7,4-3,88,74,2.00,03/17/2015,2015.0
22,Johns Hopkins (Big Ten),7,3-4,83,71,1.71,03/17/2015,2015.0
22,Villanova (Big East),7,5-2,72,60,1.71,03/17/2015,2015.0
24,Bucknell (Patriot),8,6-2,78,66,1.50,03/17/2015,2015.0
25,Marist (MAAC),6,4-2,57,50,1.17,03/17/2015,2015.0
26,Virginia (ACC),7,5-2,89,81,1.14,03/17/2015,2015.0
27,Towson (CAA),8,5-3,67,58,1.13,03/17/2015,2015.0
28,Saint Joseph's (NEC),8,3-5,76,71,0.63,03/17/2015,2015.0
29,High Point (SoCon),8,3-5,94,90,0.50,03/17/2015,2015.0
29,Wagner (NEC),6,2-4,54,51,0.50,03/17/2015,2015.0
31,Harvard (Ivy League),7,4-3,96,93,0.43,03/17/2015,2015.0
31,Loyola Maryland (Patriot),7,4-3,78,75,0.43,03/17/2015,2015.0
33,Binghamton (America East),5,2-3,53,51,0.40,03/17/2015,2015.0
34,Michigan (Big Ten),7,4-3,81,81,0.00,03/17/2015,2015.0
35,Jacksonville (SoCon),6,4-2,66,67,-0.17,03/17/2015,2015.0
35,Hartford (America East),6,3-3,57,58,-0.17,03/17/2015,2015.0
37,Air Force (ECAC),8,4-4,69,71,-0.25,03/17/2015,2015.0
38,Colgate (Patriot),7,4-3,70,72,-0.29,03/17/2015,2015.0
38,Penn St. (Big Ten),7,3-4,68,70,-0.29,03/17/2015,2015.0
40,Sacred Heart (NEC),5,3-2,58,61,-0.60,03/17/2015,2015.0
41,Siena (MAAC),7,4-3,70,75,-0.71,03/17/2015,2015.0
42,Hobart (NEC),6,3-3,57,62,-0.83,03/17/2015,2015.0
43,Massachusetts (CAA),7,2-5,79,87,-1.14,03/17/2015,2015.0
43,Detroit Mercy (MAAC),7,4-3,64,72,-1.14,03/17/2015,2015.0
45,Mount St. Mary's (NEC),6,2-4,44,51,-1.17,03/17/2015,2015.0
46,St. John's (NY) (Big East),8,2-6,72,82,-1.25,03/17/2015,2015.0
47,Monmouth (MAAC),6,3-3,30,38,-1.33,03/17/2015,2015.0
48,Delaware (CAA),8,3-5,77,90,-1.63,03/17/2015,2015.0
48,Lehigh (Patriot),8,2-6,68,81,-1.63,03/17/2015,2015.0
50,Rutgers (Big Ten),9,3-6,88,103,-1.67,03/17/2015,2015.0
51,Penn (Ivy League),7,3-4,70,83,-1.86,03/17/2015,2015.0
51,Providence (Big East),7,4-3,59,72,-1.86,03/17/2015,2015.0
53,Bellarmine (SoCon),5,1-4,47,57,-2.00,03/17/2015,2015.0
54,Robert Morris (NEC),6,1-5,61,75,-2.33,03/17/2015,2015.0
55,Drexel (CAA),7,2-5,63,80,-2.43,03/17/2015,2015.0
56,Bryant (NEC),6,1-5,47,62,-2.50,03/17/2015,2015.0
57,Holy Cross (Patriot),8,4-4,68,89,-2.63,03/17/2015,2015.0
58,Vermont (America East),8,2-6,87,111,-3.00,03/17/2015,2015.0
59,Furman (SoCon),7,2-5,48,71,-3.29,03/17/2015,2015.0
60,UMBC (America East),6,2-4,36,57,-3.50,03/17/2015,2015.0
61,Quinnipiac (MAAC),6,1-5,48,74,-4.33,03/17/2015,2015.0
62,Lafayette (Patriot),7,1-6,52,89,-5.29,03/17/2015,2015.0
63,Canisius (MAAC),7,1-6,46,88,-6.00,03/17/2015,2015.0
64,Dartmouth (Ivy League),4,1-3,30,55,-6.25,03/17/2015,2015.0
65,UMass Lowell (America East),7,1-6,44,88,-6.29,03/17/2015,2015.0
66,NJIT (Independent),5,0-5,27,60,-6.60,03/17/2015,2015.0
67,Mercer (SoCon),6,1-5,45,86,-6.83,03/17/2015,2015.0
68,VMI (SoCon),8,0-8,37,119,-10.25,03/17/2015,2015.0
69,Manhattan (MAAC),7,0-7,26,115,-12.71,03/17/2015,2015.0
1,Brown (Ivy League),5,5-0,88,47,8.20,03/14/2015,2015.0
2,North Carolina (ACC),8,8-0,131,68,7.88,03/14/2015,2015.0
3,Syracuse (ACC),6,6-0,89,47,7.00,03/14/2015,2015.0
4,Army West Point (Patriot),8,5-3,104,55,6.13,03/14/2015,2015.0
5,Stony Brook (America East),6,5-1,82,48,5.67,03/14/2015,2015.0
6,Notre Dame (ACC),5,4-1,72,45,5.40,03/14/2015,2015.0
7,Maryland (Big Ten),6,5-1,59,27,5.33,03/14/2015,2015.0
8,Duke (ACC),8,7-1,128,86,5.25,03/14/2015,2015.0
9,Boston U. (Patriot),7,5-2,94,58,5.14,03/14/2015,2015.0
10,Hofstra (CAA),6,2-4,74,51,3.83,03/14/2015,2015.0
11,Yale (Ivy League),6,5-1,72,51,3.50,03/14/2015,2015.0
12,Cornell (Ivy League),6,4-2,83,63,3.33,03/14/2015,2015.0
13,Richmond (SoCon),7,4-3,78,56,3.14,03/14/2015,2015.0
14,Ohio St. (Big Ten),8,6-2,82,59,2.88,03/14/2015,2015.0
15,Marquette (Big East),7,7-0,80,60,2.86,03/14/2015,2015.0
16,Denver (Big East),6,4-2,75,59,2.67,03/14/2015,2015.0
17,Princeton (Ivy League),5,4-1,65,53,2.40,03/14/2015,2015.0
18,Navy (Patriot),8,5-3,83,65,2.25,03/14/2015,2015.0
19,Fairfield (CAA),7,3-4,73,58,2.14,03/14/2015,2015.0
20,Georgetown (Big East),7,4-3,88,74,2.00,03/14/2015,2015.0
21,Johns Hopkins (Big Ten),7,3-4,83,71,1.71,03/14/2015,2015.0
21,Villanova (Big East),7,5-2,72,60,1.71,03/14/2015,2015.0
23,Hartford (America East),5,3-2,55,47,1.60,03/14/2015,2015.0
24,Bucknell (Patriot),7,5-2,68,57,1.57,03/14/2015,2015.0
25,Towson (CAA),7,5-2,61,51,1.43,03/14/2015,2015.0
26,Harvard (Ivy League),6,4-2,86,78,1.33,03/14/2015,2015.0
27,Virginia (ACC),7,5-2,89,81,1.14,03/14/2015,2015.0
28,Saint Joseph's (NEC),8,3-5,76,71,0.63,03/14/2015,2015.0
29,High Point (SoCon),8,3-5,94,90,0.50,03/14/2015,2015.0
30,Loyola Maryland (Patriot),7,4-3,78,75,0.43,03/14/2015,2015.0
31,Binghamton (America East),5,2-3,53,51,0.40,03/14/2015,2015.0
32,UAlbany (America East),3,2-1,34,33,0.33,03/14/2015,2015.0
33,Michigan (Big Ten),7,4-3,81,81,0.00,03/14/2015,2015.0
33,Marist (MAAC),5,3-2,47,47,0.00,03/14/2015,2015.0
35,Jacksonville (SoCon),6,4-2,66,67,-0.17,03/14/2015,2015.0
35,Colgate (Patriot),6,4-2,61,62,-0.17,03/14/2015,2015.0
37,Air Force (ECAC),8,4-4,69,71,-0.25,03/14/2015,2015.0
38,Penn St. (Big Ten),7,3-4,68,70,-0.29,03/14/2015,2015.0
39,Siena (MAAC),7,4-3,70,75,-0.71,03/14/2015,2015.0
40,Hobart (NEC),6,3-3,57,62,-0.83,03/14/2015,2015.0
41,St. John's (NY) (Big East),7,2-5,65,72,-1.00,03/14/2015,2015.0
41,Lehigh (Patriot),7,2-5,64,71,-1.00,03/14/2015,2015.0
41,Wagner (NEC),5,1-4,42,47,-1.00,03/14/2015,2015.0
41,Monmouth (MAAC),4,2-2,21,25,-1.00,03/14/2015,2015.0
45,Massachusetts (CAA),7,2-5,79,87,-1.14,03/14/2015,2015.0
45,Detroit Mercy (MAAC),7,4-3,64,72,-1.14,03/14/2015,2015.0
47,Mount St. Mary's (NEC),6,2-4,44,51,-1.17,03/14/2015,2015.0
48,Sacred Heart (NEC),4,2-2,44,50,-1.50,03/14/2015,2015.0
49,Delaware (CAA),8,3-5,77,90,-1.63,03/14/2015,2015.0
50,Rutgers (Big Ten),8,3-5,77,91,-1.75,03/14/2015,2015.0
51,Penn (Ivy League),7,3-4,70,83,-1.86,03/14/2015,2015.0
51,Providence (Big East),7,4-3,59,72,-1.86,03/14/2015,2015.0
53,Bellarmine (SoCon),5,1-4,47,57,-2.00,03/14/2015,2015.0
54,Robert Morris (NEC),6,1-5,61,75,-2.33,03/14/2015,2015.0
55,Drexel (CAA),7,2-5,63,80,-2.43,03/14/2015,2015.0
56,Bryant (NEC),6,1-5,47,62,-2.50,03/14/2015,2015.0
57,Vermont (America East),8,2-6,87,111,-3.00,03/14/2015,2015.0
58,Furman (SoCon),7,2-5,48,71,-3.29,03/14/2015,2015.0
59,UMBC (America East),6,2-4,36,57,-3.50,03/14/2015,2015.0
60,Canisius (MAAC),6,1-5,40,62,-3.67,03/14/2015,2015.0
61,Holy Cross (Patriot),7,3-4,57,87,-4.29,03/14/2015,2015.0
62,Quinnipiac (MAAC),6,1-5,48,74,-4.33,03/14/2015,2015.0
63,Lafayette (Patriot),6,1-5,41,75,-5.67,03/14/2015,2015.0
64,Dartmouth (Ivy League),4,1-3,30,55,-6.25,03/14/2015,2015.0
65,UMass Lowell (America East),6,1-5,39,77,-6.33,03/14/2015,2015.0
66,Mercer (SoCon),6,1-5,45,86,-6.83,03/14/2015,2015.0
67,NJIT (Independent),4,0-4,24,54,-7.50,03/14/2015,2015.0
68,VMI (SoCon),7,0-7,33,107,-10.57,03/14/2015,2015.0
69,Manhattan (MAAC),7,0-7,26,115,-12.71,03/14/2015,2015.0
1,Brown (Ivy League),4,4-0,74,38,9.00,03/11/2015,2015.0
2,North Carolina (ACC),7,7-0,115,57,8.29,03/11/2015,2015.0
3,Syracuse (ACC),5,5-0,76,37,7.80,03/11/2015,2015.0
4,Army West Point (Patriot),7,5-2,94,43,7.29,03/11/2015,2015.0
5,Notre Dame (ACC),4,3-1,61,36,6.25,03/11/2015,2015.0
6,Duke (ACC),7,6-1,113,73,5.71,03/11/2015,2015.0
7,Stony Brook (America East),6,5-1,82,48,5.67,03/11/2015,2015.0
8,Yale (Ivy League),5,5-0,65,37,5.60,03/11/2015,2015.0
9,Maryland (Big Ten),5,4-1,48,25,4.60,03/11/2015,2015.0
10,Boston U. (Patriot),6,4-2,77,50,4.50,03/11/2015,2015.0
10,Richmond (SoCon),6,4-2,67,40,4.50,03/11/2015,2015.0
12,Denver (Big East),5,4-1,64,46,3.60,03/11/2015,2015.0
13,Villanova (Big East),6,5-1,70,49,3.50,03/11/2015,2015.0
14,Ohio St. (Big Ten),7,5-2,69,48,3.00,03/11/2015,2015.0
15,Marquette (Big East),7,7-0,80,60,2.86,03/11/2015,2015.0
16,Georgetown (Big East),6,4-2,75,59,2.67,03/11/2015,2015.0
17,Harvard (Ivy League),5,4-1,77,64,2.60,03/11/2015,2015.0
17,Cornell (Ivy League),5,3-2,69,56,2.60,03/11/2015,2015.0
19,Johns Hopkins (Big Ten),6,3-3,73,58,2.50,03/11/2015,2015.0
20,Navy (Patriot),7,4-3,70,53,2.43,03/11/2015,2015.0
21,Hofstra (CAA),5,1-4,59,47,2.40,03/11/2015,2015.0
22,Fairfield (CAA),6,2-4,60,49,1.83,03/11/2015,2015.0
23,Virginia (ACC),6,5-1,80,70,1.67,03/11/2015,2015.0
24,Princeton (Ivy League),4,3-1,48,42,1.50,03/11/2015,2015.0
25,Towson (CAA),6,4-2,52,45,1.17,03/11/2015,2015.0
26,Saint Joseph's (NEC),7,3-4,68,62,0.86,03/11/2015,2015.0
27,High Point (SoCon),7,3-4,83,78,0.71,03/11/2015,2015.0
28,Colgate (Patriot),5,4-1,52,49,0.60,03/11/2015,2015.0
29,Penn St. (Big Ten),6,3-3,60,58,0.33,03/11/2015,2015.0
29,Bucknell (Patriot),6,4-2,53,51,0.33,03/11/2015,2015.0
29,UAlbany (America East),3,2-1,34,33,0.33,03/11/2015,2015.0
32,Loyola Maryland (Patriot),6,3-3,66,65,0.17,03/11/2015,2015.0
33,Marist (MAAC),5,3-2,47,47,0.00,03/11/2015,2015.0
33,Hartford (America East),4,2-2,42,42,0.00,03/11/2015,2015.0
35,Michigan (Big Ten),6,3-3,72,73,-0.17,03/11/2015,2015.0
36,Providence (Big East),6,4-2,55,57,-0.33,03/11/2015,2015.0
37,Hobart (NEC),5,3-2,51,53,-0.40,03/11/2015,2015.0
38,Air Force (ECAC),7,3-4,60,65,-0.71,03/11/2015,2015.0
39,Detroit Mercy (MAAC),6,4-2,58,63,-0.83,03/11/2015,2015.0
40,Lehigh (Patriot),6,2-4,52,58,-1.00,03/11/2015,2015.0
40,Wagner (NEC),5,1-4,42,47,-1.00,03/11/2015,2015.0
40,Monmouth (MAAC),4,2-2,21,25,-1.00,03/11/2015,2015.0
43,Delaware (CAA),7,3-4,65,73,-1.14,03/11/2015,2015.0
44,Penn (Ivy League),6,3-3,59,66,-1.17,03/11/2015,2015.0
44,Mount St. Mary's (NEC),6,2-4,44,51,-1.17,03/11/2015,2015.0
46,Jacksonville (SoCon),5,3-2,58,64,-1.20,03/11/2015,2015.0
47,Siena (MAAC),6,3-3,61,69,-1.33,03/11/2015,2015.0
47,St. John's (NY) (Big East),6,1-5,55,63,-1.33,03/11/2015,2015.0
49,Binghamton (America East),4,1-3,40,47,-1.75,03/11/2015,2015.0
50,Massachusetts (CAA),6,1-5,67,79,-2.00,03/11/2015,2015.0
50,Bellarmine (SoCon),4,1-3,40,48,-2.00,03/11/2015,2015.0
52,Robert Morris (NEC),6,1-5,61,75,-2.33,03/11/2015,2015.0
53,UMBC (America East),5,2-3,32,44,-2.40,03/11/2015,2015.0
54,Bryant (NEC),6,1-5,47,62,-2.50,03/11/2015,2015.0
55,Drexel (CAA),6,2-4,54,70,-2.67,03/11/2015,2015.0
56,Rutgers (Big Ten),7,2-5,60,79,-2.71,03/11/2015,2015.0
57,Vermont (America East),7,2-5,70,90,-2.86,03/11/2015,2015.0
58,Sacred Heart (NEC),3,1-2,23,33,-3.33,03/11/2015,2015.0
59,Holy Cross (Patriot),6,3-3,51,72,-3.50,03/11/2015,2015.0
60,Furman (SoCon),6,1-5,39,64,-4.17,03/11/2015,2015.0
61,Quinnipiac (MAAC),5,1-4,42,65,-4.60,03/11/2015,2015.0
62,Lafayette (Patriot),5,1-4,33,58,-5.00,03/11/2015,2015.0
63,Canisius (MAAC),5,0-5,32,58,-5.20,03/11/2015,2015.0
64,UMass Lowell (America East),5,1-4,34,64,-6.00,03/11/2015,2015.0
65,Dartmouth (Ivy League),4,1-3,30,55,-6.25,03/11/2015,2015.0
66,NJIT (Independent),4,0-4,24,54,-7.50,03/11/2015,2015.0
67,Mercer (SoCon),5,0-5,33,75,-8.40,03/11/2015,2015.0
68,VMI (SoCon),6,0-6,30,99,-11.50,03/11/2015,2015.0
69,Manhattan (MAAC),6,0-6,22,107,-14.17,03/11/2015,2015.0
1,Brown (Ivy League),4,4-0,74,38,9.00,03/10/2015,2015.0
2,North Carolina (ACC),7,7-0,115,57,8.29,03/10/2015,2015.0
3,Syracuse (ACC),5,5-0,76,37,7.80,03/10/2015,2015.0
4,Army West Point (Patriot),7,5-2,94,43,7.29,03/10/2015,2015.0
5,Notre Dame (ACC),4,3-1,61,36,6.25,03/10/2015,2015.0
6,Duke (ACC),7,6-1,113,73,5.71,03/10/2015,2015.0
7,Stony Brook (America East),6,5-1,82,48,5.67,03/10/2015,2015.0
8,Yale (Ivy League),5,5-0,65,37,5.60,03/10/2015,2015.0
9,Richmond (SoCon),5,3-2,59,33,5.20,03/10/2015,2015.0
10,Maryland (Big Ten),5,4-1,48,25,4.60,03/10/2015,2015.0
11,Boston U. (Patriot),6,4-2,77,50,4.50,03/10/2015,2015.0
12,Denver (Big East),5,4-1,64,46,3.60,03/10/2015,2015.0
13,Villanova (Big East),6,5-1,70,49,3.50,03/10/2015,2015.0
14,Ohio St. (Big Ten),7,5-2,69,48,3.00,03/10/2015,2015.0
15,Marquette (Big East),7,7-0,80,60,2.86,03/10/2015,2015.0
16,Georgetown (Big East),6,4-2,75,59,2.67,03/10/2015,2015.0
17,Harvard (Ivy League),5,4-1,77,64,2.60,03/10/2015,2015.0
17,Cornell (Ivy League),5,3-2,69,56,2.60,03/10/2015,2015.0
19,Johns Hopkins (Big Ten),6,3-3,73,58,2.50,03/10/2015,2015.0
20,Navy (Patriot),7,4-3,70,53,2.43,03/10/2015,2015.0
21,Hofstra (CAA),5,1-4,59,47,2.40,03/10/2015,2015.0
22,Fairfield (CAA),6,2-4,60,49,1.83,03/10/2015,2015.0
23,Virginia (ACC),6,5-1,80,70,1.67,03/10/2015,2015.0
24,Princeton (Ivy League),4,3-1,48,42,1.50,03/10/2015,2015.0
25,Towson (CAA),6,4-2,52,45,1.17,03/10/2015,2015.0
26,Saint Joseph's (NEC),7,3-4,68,62,0.86,03/10/2015,2015.0
27,High Point (SoCon),7,3-4,83,78,0.71,03/10/2015,2015.0
28,Colgate (Patriot),5,4-1,52,49,0.60,03/10/2015,2015.0
29,Penn St. (Big Ten),6,3-3,60,58,0.33,03/10/2015,2015.0
29,Bucknell (Patriot),6,4-2,53,51,0.33,03/10/2015,2015.0
29,UAlbany (America East),3,2-1,34,33,0.33,03/10/2015,2015.0
32,Loyola Maryland (Patriot),6,3-3,66,65,0.17,03/10/2015,2015.0
33,Marist (MAAC),5,3-2,47,47,0.00,03/10/2015,2015.0
33,Hartford (America East),4,2-2,42,42,0.00,03/10/2015,2015.0
35,Michigan (Big Ten),6,3-3,72,73,-0.17,03/10/2015,2015.0
36,Providence (Big East),6,4-2,55,57,-0.33,03/10/2015,2015.0
37,Hobart (NEC),5,3-2,51,53,-0.40,03/10/2015,2015.0
38,Air Force (ECAC),7,3-4,60,65,-0.71,03/10/2015,2015.0
39,Detroit Mercy (MAAC),6,4-2,58,63,-0.83,03/10/2015,2015.0
40,Lehigh (Patriot),6,2-4,52,58,-1.00,03/10/2015,2015.0
40,Wagner (NEC),5,1-4,42,47,-1.00,03/10/2015,2015.0
40,Monmouth (MAAC),4,2-2,21,25,-1.00,03/10/2015,2015.0
43,Delaware (CAA),7,3-4,65,73,-1.14,03/10/2015,2015.0
44,Penn (Ivy League),6,3-3,59,66,-1.17,03/10/2015,2015.0
45,Mount St. Mary's (NEC),5,2-3,37,43,-1.20,03/10/2015,2015.0
46,Siena (MAAC),6,3-3,61,69,-1.33,03/10/2015,2015.0
46,St. John's (NY) (Big East),6,1-5,55,63,-1.33,03/10/2015,2015.0
48,Binghamton (America East),4,1-3,40,47,-1.75,03/10/2015,2015.0
49,Robert Morris (NEC),5,1-4,48,57,-1.80,03/10/2015,2015.0
50,Massachusetts (CAA),6,1-5,67,79,-2.00,03/10/2015,2015.0
50,Bellarmine (SoCon),4,1-3,40,48,-2.00,03/10/2015,2015.0
52,UMBC (America East),5,2-3,32,44,-2.40,03/10/2015,2015.0
53,Bryant (NEC),6,1-5,47,62,-2.50,03/10/2015,2015.0
54,Drexel (CAA),6,2-4,54,70,-2.67,03/10/2015,2015.0
55,Rutgers (Big Ten),7,2-5,60,79,-2.71,03/10/2015,2015.0
56,Jacksonville (SoCon),4,2-2,40,51,-2.75,03/10/2015,2015.0
57,Vermont (America East),7,2-5,70,90,-2.86,03/10/2015,2015.0
58,Sacred Heart (NEC),3,1-2,23,33,-3.33,03/10/2015,2015.0
59,Holy Cross (Patriot),6,3-3,51,72,-3.50,03/10/2015,2015.0
60,Furman (SoCon),6,1-5,39,64,-4.17,03/10/2015,2015.0
61,Quinnipiac (MAAC),5,1-4,42,65,-4.60,03/10/2015,2015.0
62,Lafayette (Patriot),5,1-4,33,58,-5.00,03/10/2015,2015.0
63,Canisius (MAAC),5,0-5,32,58,-5.20,03/10/2015,2015.0
64,UMass Lowell (America East),5,1-4,34,64,-6.00,03/10/2015,2015.0
65,Dartmouth (Ivy League),4,1-3,30,55,-6.25,03/10/2015,2015.0
66,NJIT (Independent),4,0-4,24,54,-7.50,03/10/2015,2015.0
67,Mercer (SoCon),5,0-5,33,75,-8.40,03/10/2015,2015.0
68,VMI (SoCon),6,0-6,30,99,-11.50,03/10/2015,2015.0
69,Manhattan (MAAC),6,0-6,22,107,-14.17,03/10/2015,2015.0
1,North Carolina (ACC),6,6-0,105,48,9.50,03/09/2015,2015.0
2,Brown (Ivy League),4,4-0,74,38,9.00,03/09/2015,2015.0
3,Syracuse (ACC),5,5-0,76,37,7.80,03/09/2015,2015.0
4,Army West Point (Patriot),7,5-2,94,43,7.29,03/09/2015,2015.0
5,Notre Dame (ACC),4,3-1,61,36,6.25,03/09/2015,2015.0
6,Duke (ACC),7,6-1,113,73,5.71,03/09/2015,2015.0
7,Stony Brook (America East),6,5-1,82,48,5.67,03/09/2015,2015.0
8,Yale (Ivy League),5,5-0,65,37,5.60,03/09/2015,2015.0
9,Richmond (SoCon),5,3-2,59,33,5.20,03/09/2015,2015.0
10,Maryland (Big Ten),5,4-1,48,25,4.60,03/09/2015,2015.0
11,Boston U. (Patriot),6,4-2,77,50,4.50,03/09/2015,2015.0
12,Denver (Big East),5,4-1,64,46,3.60,03/09/2015,2015.0
13,Villanova (Big East),5,4-1,62,46,3.20,03/09/2015,2015.0
14,Ohio St. (Big Ten),7,5-2,69,48,3.00,03/09/2015,2015.0
15,Marquette (Big East),7,7-0,80,60,2.86,03/09/2015,2015.0
16,Harvard (Ivy League),5,4-1,77,64,2.60,03/09/2015,2015.0
16,Cornell (Ivy League),5,3-2,69,56,2.60,03/09/2015,2015.0
18,Johns Hopkins (Big Ten),6,3-3,73,58,2.50,03/09/2015,2015.0
19,Hofstra (CAA),5,1-4,59,47,2.40,03/09/2015,2015.0
19,Fairfield (CAA),5,2-3,51,39,2.40,03/09/2015,2015.0
21,Virginia (ACC),5,4-1,65,56,1.80,03/09/2015,2015.0
22,Georgetown (Big East),5,3-2,57,49,1.60,03/09/2015,2015.0
23,Princeton (Ivy League),4,3-1,48,42,1.50,03/09/2015,2015.0
24,Saint Joseph's (NEC),6,3-3,54,47,1.17,03/09/2015,2015.0
24,Towson (CAA),6,4-2,52,45,1.17,03/09/2015,2015.0
26,High Point (SoCon),7,3-4,83,78,0.71,03/09/2015,2015.0
27,Colgate (Patriot),5,4-1,52,49,0.60,03/09/2015,2015.0
28,Navy (Patriot),6,3-3,52,49,0.50,03/09/2015,2015.0
29,UAlbany (America East),3,2-1,34,33,0.33,03/09/2015,2015.0
30,Marist (MAAC),4,3-1,39,38,0.25,03/09/2015,2015.0
31,Penn St. (Big Ten),5,2-3,51,50,0.20,03/09/2015,2015.0
31,Bucknell (Patriot),5,3-2,43,42,0.20,03/09/2015,2015.0
33,Loyola Maryland (Patriot),6,3-3,66,65,0.17,03/09/2015,2015.0
34,Hartford (America East),4,2-2,42,42,0.00,03/09/2015,2015.0
35,Michigan (Big Ten),6,3-3,72,73,-0.17,03/09/2015,2015.0
36,Lehigh (Patriot),5,2-3,49,50,-0.20,03/09/2015,2015.0
37,Air Force (ECAC),7,3-4,60,65,-0.71,03/09/2015,2015.0
38,Detroit Mercy (MAAC),6,4-2,58,63,-0.83,03/09/2015,2015.0
39,Wagner (NEC),5,1-4,42,47,-1.00,03/09/2015,2015.0
39,Monmouth (MAAC),4,2-2,21,25,-1.00,03/09/2015,2015.0
41,Delaware (CAA),7,3-4,65,73,-1.14,03/09/2015,2015.0
42,Penn (Ivy League),6,3-3,59,66,-1.17,03/09/2015,2015.0
43,Mount St. Mary's (NEC),5,2-3,37,43,-1.20,03/09/2015,2015.0
44,Siena (MAAC),6,3-3,61,69,-1.33,03/09/2015,2015.0
44,St. John's (NY) (Big East),6,1-5,55,63,-1.33,03/09/2015,2015.0
46,Providence (Big East),5,3-2,44,51,-1.40,03/09/2015,2015.0
47,Binghamton (America East),4,1-3,40,47,-1.75,03/09/2015,2015.0
48,Robert Morris (NEC),5,1-4,48,57,-1.80,03/09/2015,2015.0
49,Vermont (America East),6,2-4,60,72,-2.00,03/09/2015,2015.0
49,Hobart (NEC),4,2-2,41,49,-2.00,03/09/2015,2015.0
49,Bellarmine (SoCon),4,1-3,40,48,-2.00,03/09/2015,2015.0
52,UMBC (America East),5,2-3,32,44,-2.40,03/09/2015,2015.0
53,Quinnipiac (MAAC),4,1-3,37,47,-2.50,03/09/2015,2015.0
54,Drexel (CAA),6,2-4,54,70,-2.67,03/09/2015,2015.0
55,Rutgers (Big Ten),7,2-5,60,79,-2.71,03/09/2015,2015.0
56,Jacksonville (SoCon),4,2-2,40,51,-2.75,03/09/2015,2015.0
56,Lafayette (Patriot),4,1-3,29,40,-2.75,03/09/2015,2015.0
58,Bryant (NEC),5,1-4,38,52,-2.80,03/09/2015,2015.0
59,Sacred Heart (NEC),3,1-2,23,33,-3.33,03/09/2015,2015.0
60,Holy Cross (Patriot),6,3-3,51,72,-3.50,03/09/2015,2015.0
61,Furman (SoCon),6,1-5,39,64,-4.17,03/09/2015,2015.0
62,Massachusetts (CAA),5,0-5,49,74,-5.00,03/09/2015,2015.0
62,Canisius (MAAC),4,0-4,28,48,-5.00,03/09/2015,2015.0
64,Dartmouth (Ivy League),4,1-3,30,55,-6.25,03/09/2015,2015.0
64,UMass Lowell (America East),4,1-3,28,53,-6.25,03/09/2015,2015.0
66,NJIT (Independent),4,0-4,24,54,-7.50,03/09/2015,2015.0
67,Mercer (SoCon),5,0-5,33,75,-8.40,03/09/2015,2015.0
68,VMI (SoCon),6,0-6,30,99,-11.50,03/09/2015,2015.0
69,Manhattan (MAAC),6,0-6,22,107,-14.17,03/09/2015,2015.0
1,North Carolina (ACC),6,6-0,105,48,9.50,03/08/2015,2015.0
2,Brown (Ivy League),4,4-0,74,38,9.00,03/08/2015,2015.0
3,Syracuse (ACC),5,5-0,76,37,7.80,03/08/2015,2015.0
4,Army West Point (Patriot),7,5-2,94,43,7.29,03/08/2015,2015.0
5,Notre Dame (ACC),4,3-1,61,36,6.25,03/08/2015,2015.0
6,Duke (ACC),7,6-1,113,73,5.71,03/08/2015,2015.0
7,Stony Brook (America East),6,5-1,82,48,5.67,03/08/2015,2015.0
8,Yale (Ivy League),5,5-0,65,37,5.60,03/08/2015,2015.0
9,Richmond (SoCon),5,3-2,59,33,5.20,03/08/2015,2015.0
10,Maryland (Big Ten),5,4-1,48,25,4.60,03/08/2015,2015.0
11,Boston U. (Patriot),6,4-2,77,50,4.50,03/08/2015,2015.0
12,Denver (Big East),5,4-1,64,46,3.60,03/08/2015,2015.0
13,Villanova (Big East),5,4-1,62,46,3.20,03/08/2015,2015.0
14,Ohio St. (Big Ten),7,5-2,69,48,3.00,03/08/2015,2015.0
15,Marquette (Big East),7,7-0,80,60,2.86,03/08/2015,2015.0
16,Cornell (Ivy League),5,3-2,69,56,2.60,03/08/2015,2015.0
17,Johns Hopkins (Big Ten),6,3-3,73,58,2.50,03/08/2015,2015.0
18,Hofstra (CAA),5,1-4,59,47,2.40,03/08/2015,2015.0
18,Fairfield (CAA),5,2-3,51,39,2.40,03/08/2015,2015.0
20,Virginia (ACC),5,4-1,65,56,1.80,03/08/2015,2015.0
21,Georgetown (Big East),5,3-2,57,49,1.60,03/08/2015,2015.0
22,Princeton (Ivy League),4,3-1,48,42,1.50,03/08/2015,2015.0
23,Saint Joseph's (NEC),6,3-3,54,47,1.17,03/08/2015,2015.0
23,Towson (CAA),6,4-2,52,45,1.17,03/08/2015,2015.0
25,High Point (SoCon),7,3-4,83,78,0.71,03/08/2015,2015.0
26,Colgate (Patriot),5,4-1,52,49,0.60,03/08/2015,2015.0
27,Navy (Patriot),6,3-3,52,49,0.50,03/08/2015,2015.0
27,Harvard (Ivy League),4,3-1,57,55,0.50,03/08/2015,2015.0
29,UAlbany (America East),3,2-1,34,33,0.33,03/08/2015,2015.0
30,Marist (MAAC),4,3-1,39,38,0.25,03/08/2015,2015.0
