Rank,Team,Games,W-L,Goals,Shots,Pct.,Date,Academic Year
44,Saint Joseph's (NEC),17,11-6,182,675,0.270,05/17/2015,2015.0
45,Bryant (NEC),18,8-10,149,554,0.269,05/17/2015,2015.0
46,Hobart (NEC),14,7-7,118,440,0.268,05/17/2015,2015.0
47,Sacred Heart (NEC),13,6-7,112,419,0.267,05/17/2015,2015.0
48,Michigan (Big Ten),13,5-8,128,479,0.267,05/17/2015,2015.0
49,Maryland (Big Ten),17,14-3,177,665,0.266,05/17/2015,2015.0
50,Cornell (Ivy League),16,10-6,184,699,0.263,05/17/2015,2015.0
51,Boston U. (Patriot),14,6-8,150,571,0.263,05/17/2015,2015.0
52,Lafayette (Patriot),14,4-10,127,485,0.262,05/17/2015,2015.0
53,Robert Morris (NEC),14,3-11,133,508,0.262,05/17/2015,2015.0
54,Hofstra (CAA),14,5-9,133,522,0.255,05/17/2015,2015.0
55,Providence (Big East),14,5-9,113,445,0.254,05/17/2015,2015.0
56,Siena (MAAC),14,5-9,130,524,0.248,05/17/2015,2015.0
57,Towson (CAA),18,12-6,154,632,0.244,05/17/2015,2015.0
58,Villanova (Big East),14,6-8,131,540,0.243,05/17/2015,2015.0
59,Canisius (MAAC),15,3-12,118,489,0.241,05/17/2015,2015.0
60,Wagner (NEC),13,4-9,93,410,0.227,05/17/2015,2015.0
61,Mount St. Mary's (NEC),15,5-10,110,485,0.227,05/17/2015,2015.0
62,Drexel (CAA),15,7-8,130,577,0.225,05/17/2015,2015.0
63,Monmouth (MAAC),14,6-8,93,436,0.213,05/17/2015,2015.0
64,Furman (SoCon),13,4-9,94,445,0.211,05/17/2015,2015.0
65,Mercer (SoCon),13,5-8,108,526,0.205,05/17/2015,2015.0
66,VMI (SoCon),15,1-14,78,421,0.185,05/17/2015,2015.0
67,Manhattan (MAAC),15,1-14,74,420,0.176,05/17/2015,2015.0
68,NJIT (Independent),12,0-12,54,314,0.172,05/17/2015,2015.0
-,UMass Lowell (America East),14,1-13,95,427,0.222,05/17/2015,2015.0
1,Stony Brook (America East),18,13-5,250,622,0.402,05/16/2015,2015.0
2,Denver (Big East),17,15-2,240,655,0.366,05/16/2015,2015.0
3,UAlbany (America East),19,16-3,325,887,0.366,05/16/2015,2015.0
4,Colgate (Patriot),16,10-6,169,479,0.353,05/16/2015,2015.0
5,Princeton (Ivy League),15,9-6,180,523,0.344,05/16/2015,2015.0
6,Syracuse (ACC),15,13-2,223,648,0.344,05/16/2015,2015.0
7,Notre Dame (ACC),14,12-2,189,557,0.339,05/16/2015,2015.0
8,North Carolina (ACC),16,13-3,237,710,0.334,05/16/2015,2015.0
9,Johns Hopkins (Big Ten),16,10-6,207,627,0.330,05/16/2015,2015.0
10,Virginia (ACC),15,10-5,181,551,0.328,05/16/2015,2015.0
11,Yale (Ivy League),16,11-5,182,561,0.324,05/16/2015,2015.0
12,Duke (ACC),18,12-6,257,797,0.322,05/16/2015,2015.0
13,Marist (MAAC),18,14-4,212,663,0.320,05/16/2015,2015.0
14,Harvard (Ivy League),14,7-7,172,545,0.316,05/16/2015,2015.0
15,Binghamton (America East),13,4-9,140,455,0.308,05/16/2015,2015.0
16,Army West Point (Patriot),17,10-7,191,621,0.308,05/16/2015,2015.0
17,Holy Cross (Patriot),13,6-7,120,393,0.305,05/16/2015,2015.0
18,High Point (SoCon),17,10-7,184,605,0.304,05/16/2015,2015.0
19,Richmond (SoCon),16,11-5,188,620,0.303,05/16/2015,2015.0
20,Marquette (Big East),16,10-6,163,539,0.302,05/16/2015,2015.0
21,Ohio St. (Big Ten),19,12-7,190,633,0.300,05/16/2015,2015.0
22,Georgetown (Big East),16,10-6,186,623,0.299,05/16/2015,2015.0
23,Massachusetts (CAA),15,5-10,146,494,0.296,05/16/2015,2015.0
24,Lehigh (Patriot),16,7-9,163,555,0.294,05/16/2015,2015.0
25,Brown (Ivy League),17,12-5,237,808,0.293,05/16/2015,2015.0
26,Bellarmine (SoCon),12,4-8,119,406,0.293,05/16/2015,2015.0
27,Vermont (America East),16,6-10,194,662,0.293,05/16/2015,2015.0
28,Navy (Patriot),14,9-5,137,472,0.290,05/16/2015,2015.0
29,Hartford (America East),15,7-8,147,513,0.287,05/16/2015,2015.0
30,Detroit Mercy (MAAC),14,8-6,139,486,0.286,05/16/2015,2015.0
31,Quinnipiac (MAAC),15,7-8,148,519,0.285,05/16/2015,2015.0
32,Delaware (CAA),15,5-10,136,478,0.285,05/16/2015,2015.0
