Rank,Team,Games,W-L,Goals,Shots,Pct.,Date,Academic Year
10,Georgetown (Big East),7,6-1,90,255,0.353,03/18/2018,2018.0
11,Penn St. (Big Ten),8,5-3,105,298,0.352,03/18/2018,2018.0
12,Cornell (Ivy League),6,3-3,73,208,0.351,03/18/2018,2018.0
13,Lehigh (Patriot),8,6-2,97,277,0.350,03/18/2018,2018.0
14,Robert Morris (NEC),7,5-2,85,244,0.348,03/18/2018,2018.0
15,Jacksonville (SoCon),7,3-4,82,236,0.347,03/18/2018,2018.0
16,UAlbany (America East),6,6-0,95,280,0.339,03/18/2018,2018.0
17,Bucknell (Patriot),7,5-2,82,242,0.339,03/18/2018,2018.0
18,Yale (Ivy League),6,5-1,69,209,0.330,03/18/2018,2018.0
19,Loyola Maryland (Patriot),7,5-2,92,280,0.329,03/18/2018,2018.0
20,Michigan (Big Ten),7,5-2,83,253,0.328,03/18/2018,2018.0
21,Sacred Heart (NEC),8,4-4,96,297,0.323,03/18/2018,2018.0
22,Drexel (CAA),7,3-4,73,226,0.323,03/18/2018,2018.0
23,Rutgers (Big Ten),8,6-2,88,273,0.322,03/18/2018,2018.0
24,Virginia (ACC),8,6-2,103,324,0.318,03/18/2018,2018.0
25,High Point (SoCon),7,1-6,74,237,0.312,03/18/2018,2018.0
26,Syracuse (ACC),6,3-3,64,205,0.312,03/18/2018,2018.0
27,Johns Hopkins (Big Ten),7,5-2,91,296,0.307,03/18/2018,2018.0
28,Harvard (Ivy League),6,5-1,70,231,0.303,03/18/2018,2018.0
29,Massachusetts (CAA),8,4-4,95,314,0.303,03/18/2018,2018.0
30,Furman (SoCon),7,1-6,69,229,0.301,03/18/2018,2018.0
31,Bryant (NEC),8,3-5,94,312,0.301,03/18/2018,2018.0
32,North Carolina (ACC),9,6-3,102,340,0.300,03/18/2018,2018.0
33,Ohio St. (Big Ten),8,5-3,77,257,0.300,03/18/2018,2018.0
34,Princeton (Ivy League),6,3-3,70,235,0.298,03/18/2018,2018.0
35,Stony Brook (America East),7,2-5,62,209,0.297,03/18/2018,2018.0
36,Mount St. Mary's (NEC),8,3-5,96,325,0.295,03/18/2018,2018.0
37,Boston U. (Patriot),8,4-4,80,271,0.295,03/18/2018,2018.0
38,Delaware (CAA),7,3-4,77,272,0.283,03/18/2018,2018.0
39,UMass Lowell (America East),8,4-4,86,304,0.283,03/18/2018,2018.0
40,Brown (Ivy League),5,2-3,57,202,0.282,03/18/2018,2018.0
41,Army West Point (Patriot),7,5-2,76,275,0.276,03/18/2018,2018.0
42,Richmond (SoCon),8,4-4,77,280,0.275,03/18/2018,2018.0
43,Monmouth (MAAC),7,3-4,68,248,0.274,03/18/2018,2018.0
44,Penn (Ivy League),7,4-3,66,241,0.274,03/18/2018,2018.0
45,Dartmouth (Ivy League),5,2-3,42,154,0.273,03/18/2018,2018.0
46,Manhattan (MAAC),8,3-5,68,251,0.271,03/18/2018,2018.0
47,Towson (CAA),7,3-4,62,230,0.270,03/18/2018,2018.0
48,Detroit Mercy (MAAC),8,3-5,68,253,0.269,03/18/2018,2018.0
49,Hofstra (CAA),6,4-2,54,203,0.266,03/18/2018,2018.0
50,Saint Joseph's (NEC),6,3-3,51,193,0.264,03/18/2018,2018.0
51,NJIT (Independent),9,0-9,58,220,0.264,03/18/2018,2018.0
52,Marist (MAAC),9,1-8,68,258,0.264,03/18/2018,2018.0
53,Siena (MAAC),5,2-3,51,194,0.263,03/18/2018,2018.0
54,Villanova (Big East),8,6-2,87,335,0.260,03/18/2018,2018.0
55,VMI (Southland),6,1-5,53,205,0.259,03/18/2018,2018.0
56,Quinnipiac (MAAC),7,4-3,76,296,0.257,03/18/2018,2018.0
57,Hobart (NEC),7,3-4,76,299,0.254,03/18/2018,2018.0
58,Providence (Big East),8,3-5,73,289,0.253,03/18/2018,2018.0
59,Fairfield (CAA),8,2-6,68,273,0.249,03/18/2018,2018.0
59,Navy (Patriot),8,4-4,68,273,0.249,03/18/2018,2018.0
61,Wagner (NEC),7,2-5,47,195,0.241,03/18/2018,2018.0
62,Mercer (SoCon),8,2-6,62,258,0.240,03/18/2018,2018.0
63,Bellarmine (SoCon),7,2-5,55,229,0.240,03/18/2018,2018.0
64,Air Force (SoCon),8,3-5,62,259,0.239,03/18/2018,2018.0
65,Cleveland St. (Independent),9,2-7,71,298,0.238,03/18/2018,2018.0
66,Hampton (DI Independent),5,2-3,48,211,0.227,03/18/2018,2018.0
67,Lafayette (Patriot),9,2-7,68,306,0.222,03/18/2018,2018.0
68,Marquette (Big East),6,3-3,47,212,0.222,03/18/2018,2018.0
69,UMBC (America East),7,2-5,46,208,0.221,03/18/2018,2018.0
1,Duke (ACC),7,6-1,106,256,0.414,03/14/2018,2018.0
2,Canisius (MAAC),4,3-1,50,125,0.400,03/14/2018,2018.0
3,Denver (Big East),6,4-2,72,181,0.398,03/14/2018,2018.0
4,Vermont (America East),7,7-0,88,228,0.386,03/14/2018,2018.0
5,Maryland (Big Ten),6,5-1,74,196,0.378,03/14/2018,2018.0
6,Colgate (Patriot),7,4-3,97,260,0.373,03/14/2018,2018.0
7,St. John's (NY) (Big East),6,4-2,72,196,0.367,03/14/2018,2018.0
8,Cornell (Ivy League),5,3-2,62,171,0.363,03/14/2018,2018.0
9,Hartford (America East),5,2-3,59,164,0.360,03/14/2018,2018.0
10,Notre Dame (ACC),4,3-1,42,117,0.359,03/14/2018,2018.0
11,Georgetown (Big East),6,6-0,80,223,0.359,03/14/2018,2018.0
12,Robert Morris (NEC),6,4-2,73,213,0.343,03/14/2018,2018.0
13,Penn St. (Big Ten),7,4-3,88,257,0.342,03/14/2018,2018.0
14,Sacred Heart (NEC),7,4-3,88,260,0.338,03/14/2018,2018.0
15,Jacksonville (SoCon),6,2-4,66,200,0.330,03/14/2018,2018.0
16,Lehigh (Patriot),7,5-2,78,238,0.328,03/14/2018,2018.0
17,Virginia (ACC),7,6-1,96,294,0.327,03/14/2018,2018.0
18,Bucknell (Patriot),6,4-2,66,203,0.325,03/14/2018,2018.0
19,Princeton (Ivy League),5,3-2,63,196,0.321,03/14/2018,2018.0
20,UAlbany (America East),5,5-0,74,232,0.319,03/14/2018,2018.0
21,Yale (Ivy League),5,4-1,56,176,0.318,03/14/2018,2018.0
22,Rutgers (Big Ten),7,5-2,74,234,0.316,03/14/2018,2018.0
23,Johns Hopkins (Big Ten),6,4-2,77,246,0.313,03/14/2018,2018.0
24,Michigan (Big Ten),6,4-2,71,227,0.313,03/14/2018,2018.0
25,Brown (Ivy League),4,2-2,49,157,0.312,03/14/2018,2018.0
26,Loyola Maryland (Patriot),6,4-2,77,247,0.312,03/14/2018,2018.0
27,Syracuse (ACC),5,3-2,54,176,0.307,03/14/2018,2018.0
28,Furman (SoCon),6,0-6,59,193,0.306,03/14/2018,2018.0
29,Ohio St. (Big Ten),7,5-2,70,230,0.304,03/14/2018,2018.0
30,High Point (SoCon),6,0-6,59,195,0.303,03/14/2018,2018.0
31,Harvard (Ivy League),5,4-1,60,200,0.300,03/14/2018,2018.0
31,North Carolina (ACC),9,6-3,102,340,0.300,03/14/2018,2018.0
33,Drexel (CAA),6,2-4,58,194,0.299,03/14/2018,2018.0
34,Army West Point (Patriot),6,4-2,71,240,0.296,03/14/2018,2018.0
35,Mount St. Mary's (NEC),7,3-4,85,288,0.295,03/14/2018,2018.0
36,Stony Brook (America East),6,1-5,55,187,0.294,03/14/2018,2018.0
37,Delaware (CAA),6,3-3,69,237,0.291,03/14/2018,2018.0
38,Richmond (SoCon),7,4-3,68,236,0.288,03/14/2018,2018.0
39,Massachusetts (CAA),7,3-4,78,271,0.288,03/14/2018,2018.0
40,Boston U. (Patriot),7,4-3,71,247,0.287,03/14/2018,2018.0
41,Dartmouth (Ivy League),4,2-2,37,129,0.287,03/14/2018,2018.0
42,Bryant (NEC),7,2-5,74,268,0.276,03/14/2018,2018.0
43,NJIT (Independent),8,0-8,53,193,0.275,03/14/2018,2018.0
44,Towson (CAA),6,3-3,54,197,0.274,03/14/2018,2018.0
45,Manhattan (MAAC),7,3-4,60,222,0.270,03/14/2018,2018.0
46,UMass Lowell (America East),7,3-4,72,270,0.267,03/14/2018,2018.0
47,Detroit Mercy (MAAC),7,2-5,54,206,0.262,03/14/2018,2018.0
48,Quinnipiac (MAAC),6,3-3,64,247,0.259,03/14/2018,2018.0
49,Navy (Patriot),7,4-3,59,229,0.258,03/14/2018,2018.0
50,Villanova (Big East),7,6-1,76,295,0.258,03/14/2018,2018.0
51,Wagner (NEC),6,2-4,42,164,0.256,03/14/2018,2018.0
52,Marist (MAAC),8,1-7,58,227,0.256,03/14/2018,2018.0
53,Penn (Ivy League),6,3-3,52,204,0.255,03/14/2018,2018.0
54,Monmouth (MAAC),6,2-4,56,220,0.255,03/14/2018,2018.0
55,Providence (Big East),7,3-4,65,256,0.254,03/14/2018,2018.0
56,Siena (MAAC),4,2-2,40,159,0.252,03/14/2018,2018.0
57,Hobart (NEC),6,2-4,65,259,0.251,03/14/2018,2018.0
58,Cleveland St. (Independent),8,2-6,68,272,0.250,03/14/2018,2018.0
59,VMI (Southland),5,1-4,47,189,0.249,03/14/2018,2018.0
60,Hofstra (CAA),5,3-2,42,170,0.247,03/14/2018,2018.0
61,Mercer (SoCon),7,2-5,54,220,0.245,03/14/2018,2018.0
62,Bellarmine (SoCon),6,2-4,48,201,0.239,03/14/2018,2018.0
63,Air Force (SoCon),7,2-5,51,215,0.237,03/14/2018,2018.0
64,Saint Joseph's (NEC),5,2-3,37,158,0.234,03/14/2018,2018.0
65,UMBC (America East),6,2-4,40,171,0.234,03/14/2018,2018.0
65,Marquette (Big East),5,3-2,40,171,0.234,03/14/2018,2018.0
67,Hampton (DI Independent),5,2-3,48,211,0.227,03/14/2018,2018.0
68,Fairfield (CAA),7,2-5,55,242,0.227,03/14/2018,2018.0
69,Binghamton (America East),7,1-6,44,203,0.217,03/14/2018,2018.0
1,Duke (ACC),7,6-1,106,256,0.414,03/13/2018,2018.0
2,Canisius (MAAC),4,3-1,50,125,0.400,03/13/2018,2018.0
3,Denver (Big East),6,4-2,72,181,0.398,03/13/2018,2018.0
4,Vermont (America East),7,7-0,88,228,0.386,03/13/2018,2018.0
5,Maryland (Big Ten),6,5-1,74,196,0.378,03/13/2018,2018.0
6,Colgate (Patriot),7,4-3,97,260,0.373,03/13/2018,2018.0
7,St. John's (NY) (Big East),6,4-2,72,196,0.367,03/13/2018,2018.0
8,Cornell (Ivy League),5,3-2,62,171,0.363,03/13/2018,2018.0
9,Hartford (America East),5,2-3,59,164,0.360,03/13/2018,2018.0
10,Notre Dame (ACC),4,3-1,42,117,0.359,03/13/2018,2018.0
11,Georgetown (Big East),6,6-0,80,223,0.359,03/13/2018,2018.0
12,Robert Morris (NEC),6,4-2,73,213,0.343,03/13/2018,2018.0
13,Penn St. (Big Ten),7,4-3,88,257,0.342,03/13/2018,2018.0
14,Sacred Heart (NEC),7,4-3,88,260,0.338,03/13/2018,2018.0
15,Lehigh (Patriot),6,5-1,71,213,0.333,03/13/2018,2018.0
16,Jacksonville (SoCon),6,2-4,66,200,0.330,03/13/2018,2018.0
17,Virginia (ACC),7,6-1,96,294,0.327,03/13/2018,2018.0
18,Bucknell (Patriot),6,4-2,66,203,0.325,03/13/2018,2018.0
19,Princeton (Ivy League),5,3-2,63,196,0.321,03/13/2018,2018.0
20,UAlbany (America East),5,5-0,74,232,0.319,03/13/2018,2018.0
21,Yale (Ivy League),5,4-1,56,176,0.318,03/13/2018,2018.0
22,Rutgers (Big Ten),6,4-2,66,209,0.316,03/13/2018,2018.0
23,Johns Hopkins (Big Ten),6,4-2,77,246,0.313,03/13/2018,2018.0
24,Michigan (Big Ten),6,4-2,71,227,0.313,03/13/2018,2018.0
25,Brown (Ivy League),4,2-2,49,157,0.312,03/13/2018,2018.0
26,Loyola Maryland (Patriot),6,4-2,77,247,0.312,03/13/2018,2018.0
27,Syracuse (ACC),5,3-2,54,176,0.307,03/13/2018,2018.0
28,Furman (SoCon),6,0-6,59,193,0.306,03/13/2018,2018.0
29,North Carolina (ACC),8,6-2,92,301,0.306,03/13/2018,2018.0
30,Ohio St. (Big Ten),7,5-2,70,230,0.304,03/13/2018,2018.0
31,High Point (SoCon),6,0-6,59,195,0.303,03/13/2018,2018.0
32,Harvard (Ivy League),5,4-1,60,200,0.300,03/13/2018,2018.0
33,Drexel (CAA),6,2-4,58,194,0.299,03/13/2018,2018.0
34,Army West Point (Patriot),6,4-2,71,240,0.296,03/13/2018,2018.0
35,Mount St. Mary's (NEC),7,3-4,85,288,0.295,03/13/2018,2018.0
36,Stony Brook (America East),6,1-5,55,187,0.294,03/13/2018,2018.0
37,Delaware (CAA),6,3-3,69,237,0.291,03/13/2018,2018.0
38,Boston U. (Patriot),7,4-3,71,247,0.287,03/13/2018,2018.0
39,Dartmouth (Ivy League),4,2-2,37,129,0.287,03/13/2018,2018.0
40,Richmond (SoCon),6,3-3,57,205,0.278,03/13/2018,2018.0
41,Massachusetts (CAA),6,2-4,65,235,0.277,03/13/2018,2018.0
42,Bryant (NEC),7,2-5,74,268,0.276,03/13/2018,2018.0
43,NJIT (Independent),8,0-8,53,193,0.275,03/13/2018,2018.0
44,Towson (CAA),6,3-3,54,197,0.274,03/13/2018,2018.0
45,UMass Lowell (America East),6,3-3,66,241,0.274,03/13/2018,2018.0
46,Manhattan (MAAC),7,3-4,60,222,0.270,03/13/2018,2018.0
47,Detroit Mercy (MAAC),7,2-5,54,206,0.262,03/13/2018,2018.0
48,Quinnipiac (MAAC),6,3-3,64,247,0.259,03/13/2018,2018.0
49,Monmouth (MAAC),5,2-3,50,194,0.258,03/13/2018,2018.0
50,Navy (Patriot),7,4-3,59,229,0.258,03/13/2018,2018.0
51,Villanova (Big East),7,6-1,76,295,0.258,03/13/2018,2018.0
52,Wagner (NEC),6,2-4,42,164,0.256,03/13/2018,2018.0
53,Marist (MAAC),8,1-7,58,227,0.256,03/13/2018,2018.0
54,Hofstra (CAA),4,2-2,35,137,0.255,03/13/2018,2018.0
55,Penn (Ivy League),6,3-3,52,204,0.255,03/13/2018,2018.0
56,Providence (Big East),7,3-4,65,256,0.254,03/13/2018,2018.0
57,Siena (MAAC),4,2-2,40,159,0.252,03/13/2018,2018.0
58,Hobart (NEC),6,2-4,65,259,0.251,03/13/2018,2018.0
59,Cleveland St. (Independent),8,2-6,68,272,0.250,03/13/2018,2018.0
60,VMI (Southland),5,1-4,47,189,0.249,03/13/2018,2018.0
61,Mercer (SoCon),7,2-5,54,220,0.245,03/13/2018,2018.0
62,Bellarmine (SoCon),6,2-4,48,201,0.239,03/13/2018,2018.0
63,Air Force (SoCon),7,2-5,51,215,0.237,03/13/2018,2018.0
64,Saint Joseph's (NEC),5,2-3,37,158,0.234,03/13/2018,2018.0
65,UMBC (America East),6,2-4,40,171,0.234,03/13/2018,2018.0
65,Marquette (Big East),5,3-2,40,171,0.234,03/13/2018,2018.0
67,Fairfield (CAA),7,2-5,55,242,0.227,03/13/2018,2018.0
68,Binghamton (America East),7,1-6,44,203,0.217,03/13/2018,2018.0
69,Hampton (DI Independent),4,1-3,33,155,0.213,03/13/2018,2018.0
1,Duke (ACC),7,6-1,106,256,0.414,03/11/2018,2018.0
2,Canisius (MAAC),4,3-1,50,125,0.400,03/11/2018,2018.0
3,Denver (Big East),6,4-2,72,181,0.398,03/11/2018,2018.0
4,Vermont (America East),7,7-0,88,228,0.386,03/11/2018,2018.0
5,Maryland (Big Ten),6,5-1,74,196,0.378,03/11/2018,2018.0
6,Colgate (Patriot),7,4-3,97,260,0.373,03/11/2018,2018.0
7,St. John's (NY) (Big East),6,4-2,72,196,0.367,03/11/2018,2018.0
8,Cornell (Ivy League),5,3-2,62,171,0.363,03/11/2018,2018.0
9,Hartford (America East),5,2-3,59,164,0.360,03/11/2018,2018.0
10,Notre Dame (ACC),4,3-1,42,117,0.359,03/11/2018,2018.0
11,Georgetown (Big East),6,6-0,80,223,0.359,03/11/2018,2018.0
12,Robert Morris (NEC),6,4-2,73,213,0.343,03/11/2018,2018.0
13,Penn St. (Big Ten),7,4-3,88,257,0.342,03/11/2018,2018.0
14,Sacred Heart (NEC),7,4-3,88,260,0.338,03/11/2018,2018.0
15,Lehigh (Patriot),6,5-1,71,213,0.333,03/11/2018,2018.0
16,Jacksonville (SoCon),6,2-4,66,200,0.330,03/11/2018,2018.0
17,Virginia (ACC),7,6-1,96,294,0.327,03/11/2018,2018.0
18,Bucknell (Patriot),6,4-2,66,203,0.325,03/11/2018,2018.0
19,Princeton (Ivy League),5,3-2,63,196,0.321,03/11/2018,2018.0
20,UAlbany (America East),5,5-0,74,232,0.319,03/11/2018,2018.0
21,Yale (Ivy League),5,4-1,56,176,0.318,03/11/2018,2018.0
22,Rutgers (Big Ten),6,4-2,66,209,0.316,03/11/2018,2018.0
23,Michigan (Big Ten),6,4-2,71,227,0.313,03/11/2018,2018.0
24,Brown (Ivy League),4,2-2,49,157,0.312,03/11/2018,2018.0
25,Loyola Maryland (Patriot),6,4-2,77,247,0.312,03/11/2018,2018.0
26,Drexel (CAA),5,2-3,49,159,0.308,03/11/2018,2018.0
27,Syracuse (ACC),5,3-2,54,176,0.307,03/11/2018,2018.0
28,Furman (SoCon),6,0-6,59,193,0.306,03/11/2018,2018.0
29,North Carolina (ACC),8,6-2,92,301,0.306,03/11/2018,2018.0
30,Ohio St. (Big Ten),7,5-2,70,230,0.304,03/11/2018,2018.0
31,High Point (SoCon),6,0-6,59,195,0.303,03/11/2018,2018.0
32,Harvard (Ivy League),5,4-1,60,200,0.300,03/11/2018,2018.0
33,Johns Hopkins (Big Ten),5,3-2,64,216,0.296,03/11/2018,2018.0
34,Army West Point (Patriot),6,4-2,71,240,0.296,03/11/2018,2018.0
35,Mount St. Mary's (NEC),7,3-4,85,288,0.295,03/11/2018,2018.0
36,Stony Brook (America East),6,1-5,55,187,0.294,03/11/2018,2018.0
37,Delaware (CAA),6,3-3,69,237,0.291,03/11/2018,2018.0
38,Boston U. (Patriot),7,4-3,71,247,0.287,03/11/2018,2018.0
39,Dartmouth (Ivy League),4,2-2,37,129,0.287,03/11/2018,2018.0
40,Richmond (SoCon),6,3-3,57,205,0.278,03/11/2018,2018.0
41,Massachusetts (CAA),6,2-4,65,235,0.277,03/11/2018,2018.0
42,Bryant (NEC),7,2-5,74,268,0.276,03/11/2018,2018.0
43,NJIT (Independent),8,0-8,53,193,0.275,03/11/2018,2018.0
44,Towson (CAA),6,3-3,54,197,0.274,03/11/2018,2018.0
45,UMass Lowell (America East),6,3-3,66,241,0.274,03/11/2018,2018.0
46,Manhattan (MAAC),7,3-4,60,222,0.270,03/11/2018,2018.0
47,Detroit Mercy (MAAC),7,2-5,54,206,0.262,03/11/2018,2018.0
48,Quinnipiac (MAAC),6,3-3,64,247,0.259,03/11/2018,2018.0
49,Monmouth (MAAC),5,2-3,50,194,0.258,03/11/2018,2018.0
50,Navy (Patriot),7,4-3,59,229,0.258,03/11/2018,2018.0
51,Villanova (Big East),7,6-1,76,295,0.258,03/11/2018,2018.0
52,Wagner (NEC),6,2-4,42,164,0.256,03/11/2018,2018.0
53,Marist (MAAC),8,1-7,58,227,0.256,03/11/2018,2018.0
54,Hofstra (CAA),4,2-2,35,137,0.255,03/11/2018,2018.0
55,Penn (Ivy League),6,3-3,52,204,0.255,03/11/2018,2018.0
56,Providence (Big East),7,3-4,65,256,0.254,03/11/2018,2018.0
57,Siena (MAAC),4,2-2,40,159,0.252,03/11/2018,2018.0
58,Hobart (NEC),6,2-4,65,259,0.251,03/11/2018,2018.0
59,VMI (Southland),5,1-4,47,189,0.249,03/11/2018,2018.0
60,Cleveland St. (Independent),7,1-6,56,228,0.246,03/11/2018,2018.0
61,Mercer (SoCon),7,2-5,54,220,0.245,03/11/2018,2018.0
62,Bellarmine (SoCon),6,2-4,48,201,0.239,03/11/2018,2018.0
63,Air Force (SoCon),7,2-5,51,215,0.237,03/11/2018,2018.0
64,Marquette (Big East),5,3-2,40,171,0.234,03/11/2018,2018.0
65,Fairfield (CAA),7,2-5,55,242,0.227,03/11/2018,2018.0
66,UMBC (America East),5,2-3,34,151,0.225,03/11/2018,2018.0
67,Saint Joseph's (NEC),4,1-3,27,124,0.218,03/11/2018,2018.0
68,Binghamton (America East),7,1-6,44,203,0.217,03/11/2018,2018.0
69,Hampton (DI Independent),4,1-3,33,155,0.213,03/11/2018,2018.0
1,Duke (ACC),6,5-1,93,218,0.427,03/07/2018,2018.0
2,Denver (Big East),5,4-1,63,154,0.409,03/07/2018,2018.0
3,Cornell (Ivy League),4,2-2,53,130,0.408,03/07/2018,2018.0
4,Canisius (MAAC),4,3-1,50,125,0.400,03/07/2018,2018.0
5,Vermont (America East),7,7-0,88,228,0.386,03/07/2018,2018.0
6,Maryland (Big Ten),5,5-0,64,171,0.374,03/07/2018,2018.0
7,Colgate (Patriot),6,3-3,81,217,0.373,03/07/2018,2018.0
8,Hartford (America East),4,1-3,48,129,0.372,03/07/2018,2018.0
9,St. John's (NY) (Big East),5,3-2,58,160,0.363,03/07/2018,2018.0
10,Penn St. (Big Ten),6,4-2,81,227,0.357,03/07/2018,2018.0
11,Yale (Ivy League),4,3-1,48,136,0.353,03/07/2018,2018.0
12,Georgetown (Big East),5,5-0,68,193,0.352,03/07/2018,2018.0
13,Sacred Heart (NEC),6,4-2,78,227,0.344,03/07/2018,2018.0
14,Notre Dame (ACC),3,2-1,31,91,0.341,03/07/2018,2018.0
15,Robert Morris (NEC),5,3-2,61,181,0.337,03/07/2018,2018.0
16,Lehigh (Patriot),5,4-1,62,184,0.337,03/07/2018,2018.0
17,Ohio St. (Big Ten),6,5-1,64,190,0.337,03/07/2018,2018.0
18,Jacksonville (SoCon),6,2-4,66,200,0.330,03/07/2018,2018.0
19,Bucknell (Patriot),5,3-2,54,166,0.325,03/07/2018,2018.0
20,Virginia (ACC),6,5-1,81,251,0.323,03/07/2018,2018.0
21,UAlbany (America East),4,4-0,63,196,0.321,03/07/2018,2018.0
22,North Carolina (ACC),7,6-1,86,274,0.314,03/07/2018,2018.0
23,Loyola Maryland (Patriot),5,4-1,68,217,0.313,03/07/2018,2018.0
24,Brown (Ivy League),4,2-2,49,157,0.312,03/07/2018,2018.0
25,Delaware (CAA),5,3-2,62,199,0.312,03/07/2018,2018.0
26,Syracuse (ACC),4,3-1,47,151,0.311,03/07/2018,2018.0
27,Mount St. Mary's (NEC),6,2-4,73,235,0.311,03/07/2018,2018.0
28,Princeton (Ivy League),4,2-2,48,155,0.310,03/07/2018,2018.0
29,Army West Point (Patriot),5,4-1,64,207,0.309,03/07/2018,2018.0
30,Furman (SoCon),6,0-6,59,191,0.309,03/07/2018,2018.0
31,Harvard (Ivy League),4,3-1,49,159,0.308,03/07/2018,2018.0
32,High Point (SoCon),6,0-6,59,195,0.303,03/07/2018,2018.0
33,Michigan (Big Ten),5,3-2,57,190,0.300,03/07/2018,2018.0
34,NJIT (Independent),7,0-7,50,171,0.292,03/07/2018,2018.0
35,Rutgers (Big Ten),5,4-1,52,178,0.292,03/07/2018,2018.0
36,Drexel (CAA),4,1-3,37,127,0.291,03/07/2018,2018.0
37,Boston U. (Patriot),6,4-2,62,213,0.291,03/07/2018,2018.0
38,Stony Brook (America East),5,1-4,41,141,0.291,03/07/2018,2018.0
39,Dartmouth (Ivy League),4,2-2,37,129,0.287,03/07/2018,2018.0
40,Bryant (NEC),6,2-4,65,231,0.281,03/07/2018,2018.0
41,Monmouth (MAAC),4,2-2,45,160,0.281,03/07/2018,2018.0
42,Detroit Mercy (MAAC),6,2-4,47,171,0.275,03/07/2018,2018.0
43,UMass Lowell (America East),5,2-3,55,202,0.272,03/07/2018,2018.0
44,Villanova (Big East),6,5-1,68,251,0.271,03/07/2018,2018.0
45,Wagner (NEC),5,2-3,39,144,0.271,03/07/2018,2018.0
46,Penn (Ivy League),5,3-2,46,170,0.271,03/07/2018,2018.0
46,Johns Hopkins (Big Ten),4,2-2,46,170,0.271,03/07/2018,2018.0
48,Providence (Big East),6,3-3,57,211,0.270,03/07/2018,2018.0
49,Marquette (Big East),4,3-1,38,141,0.270,03/07/2018,2018.0
50,Marist (MAAC),7,1-6,54,201,0.269,03/07/2018,2018.0
51,Manhattan (MAAC),6,3-3,51,190,0.268,03/07/2018,2018.0
52,Quinnipiac (MAAC),5,2-3,53,198,0.268,03/07/2018,2018.0
53,Towson (CAA),5,2-3,47,178,0.264,03/07/2018,2018.0
54,Massachusetts (CAA),5,1-4,48,186,0.258,03/07/2018,2018.0
55,Siena (MAAC),3,2-1,33,129,0.256,03/07/2018,2018.0
56,Hobart (NEC),5,2-3,56,221,0.253,03/07/2018,2018.0
57,Richmond (SoCon),5,2-3,39,156,0.250,03/07/2018,2018.0
58,Mercer (SoCon),6,2-4,45,182,0.247,03/07/2018,2018.0
59,Cleveland St. (Independent),7,1-6,56,228,0.246,03/07/2018,2018.0
60,Bellarmine (SoCon),6,2-4,48,201,0.239,03/07/2018,2018.0
61,Fairfield (CAA),6,2-4,52,219,0.237,03/07/2018,2018.0
62,Navy (Patriot),6,3-3,44,187,0.235,03/07/2018,2018.0
63,Binghamton (America East),6,0-6,36,160,0.225,03/07/2018,2018.0
64,VMI (Southland),4,1-3,35,158,0.222,03/07/2018,2018.0
65,UMBC (America East),4,1-3,27,124,0.218,03/07/2018,2018.0
66,Hofstra (CAA),3,1-2,23,106,0.217,03/07/2018,2018.0
67,Hampton (DI Independent),4,1-3,33,155,0.213,03/07/2018,2018.0
68,Air Force (SoCon),5,1-4,33,157,0.210,03/07/2018,2018.0
69,Lafayette (Patriot),6,2-4,46,219,0.210,03/07/2018,2018.0
1,Duke (ACC),6,5-1,93,218,0.427,03/06/2018,2018.0
2,Denver (Big East),5,4-1,63,154,0.409,03/06/2018,2018.0
3,Cornell (Ivy League),4,2-2,53,130,0.408,03/06/2018,2018.0
4,Canisius (MAAC),4,3-1,50,125,0.400,03/06/2018,2018.0
5,Vermont (America East),6,6-0,71,185,0.384,03/06/2018,2018.0
6,Maryland (Big Ten),5,5-0,64,171,0.374,03/06/2018,2018.0
7,Colgate (Patriot),6,3-3,81,217,0.373,03/06/2018,2018.0
8,Hartford (America East),4,1-3,48,129,0.372,03/06/2018,2018.0
9,St. John's (NY) (Big East),5,3-2,58,160,0.363,03/06/2018,2018.0
10,Penn St. (Big Ten),6,4-2,81,227,0.357,03/06/2018,2018.0
11,Yale (Ivy League),4,3-1,48,136,0.353,03/06/2018,2018.0
12,Georgetown (Big East),5,5-0,68,193,0.352,03/06/2018,2018.0
13,Notre Dame (ACC),3,2-1,31,91,0.341,03/06/2018,2018.0
14,Robert Morris (NEC),5,3-2,61,181,0.337,03/06/2018,2018.0
15,Lehigh (Patriot),5,4-1,62,184,0.337,03/06/2018,2018.0
16,Ohio St. (Big Ten),6,5-1,64,190,0.337,03/06/2018,2018.0
17,Jacksonville (SoCon),6,2-4,66,200,0.330,03/06/2018,2018.0
18,Sacred Heart (NEC),5,4-1,64,195,0.328,03/06/2018,2018.0
19,Bucknell (Patriot),5,3-2,54,166,0.325,03/06/2018,2018.0
20,Virginia (ACC),6,5-1,81,251,0.323,03/06/2018,2018.0
21,UAlbany (America East),4,4-0,63,196,0.321,03/06/2018,2018.0
22,North Carolina (ACC),7,6-1,86,274,0.314,03/06/2018,2018.0
23,Loyola Maryland (Patriot),5,4-1,68,217,0.313,03/06/2018,2018.0
24,Brown (Ivy League),4,2-2,49,157,0.312,03/06/2018,2018.0
25,Delaware (CAA),5,3-2,62,199,0.312,03/06/2018,2018.0
26,Syracuse (ACC),4,3-1,47,151,0.311,03/06/2018,2018.0
27,Mount St. Mary's (NEC),6,2-4,73,235,0.311,03/06/2018,2018.0
