Date,Team,Man Down Defense Percent
2015-05-09,Bellarmine,0.74
2015-05-09,Maryland,0.73
2015-05-09,Towson,0.729
2015-05-09,High Point,0.727
2015-05-09,Marist,0.722
2015-05-09,Colgate,0.721
2015-05-09,Monmouth,0.717
2015-05-09,Yale,0.712
2015-05-09,Hobart,0.706
2015-05-09,Syracuse,0.698
2015-05-09,Dartmouth,0.696
2015-05-09,Lafayette,0.689
2015-05-09,Manhattan,0.687
2015-05-09,Brown,0.684
2015-05-09,North Carolina,0.683
2015-05-09,Boston U.,0.682
2015-05-09,Michigan,0.675
2015-05-09,Penn St.,0.674
2015-05-09,Drexel,0.672
2015-05-09,Quinnipiac,0.667
2015-05-09,Cornell,0.656
2015-05-09,Siena,0.655
2015-05-09,Ohio St.,0.655
2015-05-09,Delaware,0.653
2015-05-09,Penn,0.652
2015-05-09,Mount St. Mary's,0.647
2015-05-09,Lehigh,0.645
2015-05-09,Johns Hopkins,0.644
2015-05-09,Fairfield,0.64
2015-05-09,Wagner,0.639
2015-05-09,Virginia,0.638
2015-05-09,Massachusetts,0.636
2015-05-09,Mercer,0.636
2015-05-09,Marquette,0.633
2015-05-09,Harvard,0.629
2015-05-09,Vermont,0.629
2015-05-09,NJIT,0.627
2015-05-09,Villanova,0.625
2015-05-09,UMBC,0.622
2015-05-09,Holy Cross,0.622
2015-05-09,UAlbany,0.621
2015-05-09,Army West Point,0.615
2015-05-09,Jacksonville,0.613
2015-05-09,Denver,0.6
2015-05-09,Robert Morris,0.6
2015-05-09,Stony Brook,0.593
2015-05-09,Detroit Mercy,0.592
2015-05-09,Air Force,0.591
2015-05-09,Rutgers,0.585
2015-05-09,Navy,0.583
2015-05-09,Bucknell,0.579
2015-05-09,Hofstra,0.578
2015-05-09,Duke,0.569
2015-05-09,Bryant,0.568
2015-05-09,Georgetown,0.547
2015-05-09,Notre Dame,0.543
2015-05-09,Sacred Heart,0.537
2015-05-09,VMI,0.535
2015-05-09,St. John's,0.529
2015-05-09,Hartford,0.517
2015-05-09,Binghamton,0.516
2015-05-09,Loyola Maryland,0.515
2015-05-09,Canisius,0.514
2015-05-09,Princeton,0.484
2015-05-09,UMass Lowell,0.519
2015-05-06,Saint Joseph's,0.8
2015-05-06,Richmond,0.789
2015-05-06,Providence,0.767
2015-05-06,Furman,0.756
2015-05-06,Bellarmine,0.74
2015-05-06,High Point,0.727
2015-05-06,Towson,0.727
2015-05-06,Marist,0.722
2015-05-06,Maryland,0.722
2015-05-06,Colgate,0.721
2015-05-06,Monmouth,0.717
2015-05-06,Yale,0.714
2015-05-06,Hobart,0.706
2015-05-06,Syracuse,0.698
2015-05-06,Dartmouth,0.696
2015-05-06,Lafayette,0.689
2015-05-06,Manhattan,0.687
2015-05-06,Brown,0.684
2015-05-06,North Carolina,0.683
2015-05-06,Boston U.,0.682
2015-05-06,Ohio St.,0.68
2015-05-06,Michigan,0.675
2015-05-06,Penn St.,0.674
2015-05-06,Drexel,0.672
2015-05-06,Quinnipiac,0.667
2015-05-06,Siena,0.655
2015-05-06,Delaware,0.653
2015-05-06,Penn,0.652
2015-05-06,Cornell,0.648
2015-05-06,Mount St. Mary's,0.647
2015-05-06,Lehigh,0.645
2015-05-06,Johns Hopkins,0.644
2015-05-06,Fairfield,0.64
2015-05-06,Wagner,0.639
2015-05-06,Virginia,0.638
2015-05-06,Massachusetts,0.636
2015-05-06,Mercer,0.636
2015-05-06,Marquette,0.633
2015-05-06,Harvard,0.629
2015-05-06,Vermont,0.629
2015-05-06,NJIT,0.627
2015-05-06,Villanova,0.625
2015-05-06,Holy Cross,0.622
2015-05-06,UMBC,0.622
2015-05-06,Army West Point,0.615
2015-05-06,Jacksonville,0.613
2015-05-06,Denver,0.6
2015-05-06,Robert Morris,0.6
2015-05-06,Stony Brook,0.593
2015-05-06,Detroit Mercy,0.592
2015-05-06,Air Force,0.591
2015-05-06,Rutgers,0.585
2015-05-06,UAlbany,0.583
2015-05-06,Navy,0.583
2015-05-06,Bucknell,0.579
2015-05-06,Hofstra,0.578
2015-05-06,Bryant,0.568
2015-05-06,Duke,0.554
2015-05-06,Georgetown,0.547
2015-05-06,Sacred Heart,0.537
2015-05-06,VMI,0.535
2015-05-06,Notre Dame,0.531
2015-05-06,St. John's,0.529
2015-05-06,Hartford,0.517
2015-05-06,Binghamton,0.516
2015-05-06,Loyola Maryland,0.515
2015-05-06,Canisius,0.514
2015-05-06,Princeton,0.484
2015-05-06,UMass Lowell,0.519
2015-05-03,Saint Joseph's,0.8
2015-05-03,Richmond,0.789
2015-05-03,Providence,0.767
2015-05-03,Furman,0.756
2015-05-03,Bellarmine,0.74
2015-05-03,High Point,0.736
2015-05-03,Maryland,0.722
2015-05-03,Colgate,0.721
2015-05-03,Monmouth,0.717
2015-05-03,Yale,0.714
2015-05-03,Towson,0.714
2015-05-03,Hobart,0.706
2015-05-03,Marist,0.701
2015-05-03,Syracuse,0.698
2015-05-03,Dartmouth,0.696
2015-05-03,Lafayette,0.689
2015-05-03,Manhattan,0.687
2015-05-03,Brown,0.684
2015-05-03,Quinnipiac,0.683
2015-05-03,North Carolina,0.683
2015-05-03,Boston U.,0.682
2015-05-03,Ohio St.,0.68
2015-05-03,Michigan,0.675
2015-05-03,Penn St.,0.674
2015-05-03,Drexel,0.672
2015-05-03,Siena,0.655
2015-05-03,Delaware,0.653
2015-05-03,Penn,0.652
2015-05-03,Cornell,0.648
2015-05-03,Mount St. Mary's,0.647
2015-05-03,Lehigh,0.645
2015-05-03,Johns Hopkins,0.644
2015-05-03,Army West Point,0.641
2015-05-03,Fairfield,0.64
2015-05-03,Wagner,0.639
2015-05-03,Virginia,0.638
2015-05-03,Massachusetts,0.636
2015-05-03,Mercer,0.636
2015-05-03,Marquette,0.633
2015-05-03,Harvard,0.629
2015-05-03,Vermont,0.629
2015-05-03,NJIT,0.627
2015-05-03,Villanova,0.625
2015-05-03,Holy Cross,0.622
2015-05-03,UMBC,0.622
2015-05-03,Jacksonville,0.613
2015-05-03,Denver,0.6
2015-05-03,Robert Morris,0.6
2015-05-03,Stony Brook,0.593
2015-05-03,Detroit Mercy,0.592
2015-05-03,Air Force,0.591
2015-05-03,Bryant,0.585
2015-05-03,Rutgers,0.585
2015-05-03,UAlbany,0.583
2015-05-03,Navy,0.583
2015-05-03,Bucknell,0.579
2015-05-03,Hofstra,0.578
2015-05-03,Duke,0.554
2015-05-03,Georgetown,0.547
2015-05-03,Sacred Heart,0.537
2015-05-03,VMI,0.535
2015-05-03,Notre Dame,0.531
2015-05-03,St. John's,0.529
2015-05-03,Hartford,0.517
2015-05-03,Binghamton,0.516
2015-05-03,Loyola Maryland,0.515
2015-05-03,Canisius,0.514
2015-05-03,Princeton,0.484
2015-05-03,UMass Lowell,0.519
2015-05-02,Saint Joseph's,0.8
2015-05-02,Richmond,0.789
2015-05-02,Providence,0.767
2015-05-02,Furman,0.756
2015-05-02,Bellarmine,0.74
2015-05-02,High Point,0.736
2015-05-02,Yale,0.727
2015-05-02,Maryland,0.722
2015-05-02,Colgate,0.721
2015-05-02,Monmouth,0.717
2015-05-02,Towson,0.714
2015-05-02,Hobart,0.706
2015-05-02,Marist,0.701
2015-05-02,Syracuse,0.698
2015-05-02,Dartmouth,0.696
2015-05-02,Lafayette,0.689
2015-05-02,Manhattan,0.687
2015-05-02,Brown,0.684
2015-05-02,Quinnipiac,0.683
2015-05-02,North Carolina,0.683
2015-05-02,Ohio St.,0.68
2015-05-02,Michigan,0.675
2015-05-02,Boston U.,0.674
2015-05-02,Penn St.,0.674
2015-05-02,Drexel,0.672
2015-05-02,Siena,0.655
2015-05-02,Delaware,0.653
2015-05-02,Penn,0.652
2015-05-02,Cornell,0.648
2015-05-02,Mount St. Mary's,0.647
2015-05-02,Lehigh,0.645
2015-05-02,Johns Hopkins,0.644
2015-05-02,Army West Point,0.641
2015-05-02,Fairfield,0.64
2015-05-02,Wagner,0.639
2015-05-02,Virginia,0.638
2015-05-02,Massachusetts,0.636
2015-05-02,Mercer,0.636
2015-05-02,Marquette,0.633
2015-05-02,Harvard,0.629
2015-05-02,Vermont,0.629
2015-05-02,NJIT,0.627
2015-05-02,Villanova,0.625
2015-05-02,Holy Cross,0.622
2015-05-02,UMBC,0.622
2015-05-02,Jacksonville,0.613
2015-05-02,Denver,0.6
2015-05-02,Robert Morris,0.6
2015-05-02,Stony Brook,0.593
2015-05-02,Detroit Mercy,0.592
2015-05-02,Air Force,0.591
2015-05-02,Bryant,0.585
2015-05-02,Rutgers,0.585
2015-05-02,UAlbany,0.583
2015-05-02,Navy,0.583
2015-05-02,Bucknell,0.579
2015-05-02,Hofstra,0.578
2015-05-02,Georgetown,0.547
2015-05-02,Duke,0.537
2015-05-02,Sacred Heart,0.537
2015-05-02,VMI,0.535
2015-05-02,Notre Dame,0.531
2015-05-02,St. John's,0.529
2015-05-02,Hartford,0.517
2015-05-02,Binghamton,0.516
2015-05-02,Loyola Maryland,0.515
2015-05-02,Canisius,0.514
2015-05-02,Princeton,0.475
2015-05-02,UMass Lowell,0.519
2015-05-01,Saint Joseph's,0.821
2015-05-01,Richmond,0.789
2015-05-01,Providence,0.767
2015-05-01,Furman,0.756
2015-05-01,Bellarmine,0.74
2015-05-01,Yale,0.727
2015-05-01,High Point,0.725
2015-05-01,Towson,0.725
2015-05-01,Colgate,0.725
2015-05-01,Maryland,0.722
2015-05-01,Syracuse,0.718
2015-05-01,Monmouth,0.717
2015-05-01,Ohio St.,0.708
2015-05-01,Marist,0.708
2015-05-01,Hobart,0.706
2015-05-01,Dartmouth,0.696
2015-05-01,Lafayette,0.689
2015-05-01,Manhattan,0.687
2015-05-01,Brown,0.684
2015-05-01,North Carolina,0.683
2015-05-01,Quinnipiac,0.679
2015-05-01,Michigan,0.675
2015-05-01,Boston U.,0.674
2015-05-01,Penn St.,0.674
2015-05-01,Drexel,0.672
2015-05-01,Siena,0.655
2015-05-01,Delaware,0.653
2015-05-01,Penn,0.652
2015-05-01,Cornell,0.648
2015-05-01,Mount St. Mary's,0.647
2015-05-01,Lehigh,0.645
2015-05-01,Johns Hopkins,0.644
2015-05-01,Fairfield,0.64
2015-05-01,Wagner,0.639
2015-05-01,Virginia,0.638
2015-05-01,Mercer,0.636
2015-05-01,Marquette,0.633
2015-05-01,Harvard,0.629
2015-05-01,Vermont,0.629
2015-05-01,Massachusetts,0.627
2015-05-01,NJIT,0.627
2015-05-01,Villanova,0.625
2015-05-01,UMBC,0.622
2015-05-01,Holy Cross,0.622
2015-05-01,Stony Brook,0.617
2015-05-01,Jacksonville,0.613
2015-05-01,Army West Point,0.611
2015-05-01,Bryant,0.605
2015-05-01,Denver,0.6
2015-05-01,Robert Morris,0.6
2015-05-01,Air Force,0.595
2015-05-01,Detroit Mercy,0.592
2015-05-01,Rutgers,0.585
2015-05-01,Bucknell,0.579
2015-05-01,UAlbany,0.579
2015-05-01,Hofstra,0.578
2015-05-01,Notre Dame,0.567
2015-05-01,Georgetown,0.563
2015-05-01,Navy,0.545
2015-05-01,Duke,0.537
2015-05-01,Sacred Heart,0.537
2015-05-01,VMI,0.535
2015-05-01,St. John's,0.529
2015-05-01,Hartford,0.517
2015-05-01,Binghamton,0.516
2015-05-01,Loyola Maryland,0.515
2015-05-01,Canisius,0.514
2015-05-01,Princeton,0.475
2015-05-01,UMass Lowell,0.519
2015-04-30,Saint Joseph's,0.821
2015-04-30,Richmond,0.789
2015-04-30,Providence,0.767
2015-04-30,Furman,0.756
2015-04-30,Bellarmine,0.74
2015-04-30,High Point,0.725
2015-04-30,Colgate,0.725
2015-04-30,Towson,0.725
2015-04-30,Maryland,0.722
2015-04-30,Syracuse,0.718
2015-04-30,Monmouth,0.717
2015-04-30,Ohio St.,0.708
2015-04-30,Marist,0.708
2015-04-30,Yale,0.707
2015-04-30,Hobart,0.706
2015-04-30,Dartmouth,0.696
2015-04-30,Lafayette,0.689
2015-04-30,Manhattan,0.687
2015-04-30,Brown,0.684
2015-04-30,North Carolina,0.683
2015-04-30,Quinnipiac,0.679
2015-04-30,Michigan,0.675
2015-04-30,Boston U.,0.674
2015-04-30,Penn St.,0.674
2015-04-30,Drexel,0.672
2015-04-30,Siena,0.655
2015-04-30,Delaware,0.653
2015-04-30,Penn,0.652
2015-04-30,Mount St. Mary's,0.647
2015-04-30,Lehigh,0.645
2015-04-30,Johns Hopkins,0.644
2015-04-30,Fairfield,0.64
2015-04-30,Wagner,0.639
2015-04-30,Virginia,0.638
2015-04-30,Mercer,0.636
2015-04-30,Marquette,0.633
2015-04-30,Harvard,0.629
2015-04-30,Vermont,0.629
2015-04-30,Massachusetts,0.627
2015-04-30,NJIT,0.627
2015-04-30,Cornell,0.627
2015-04-30,Villanova,0.625
2015-04-30,Holy Cross,0.622
2015-04-30,UMBC,0.622
2015-04-30,Stony Brook,0.617
2015-04-30,Jacksonville,0.613
2015-04-30,Army West Point,0.611
2015-04-30,Bryant,0.605
2015-04-30,Denver,0.6
2015-04-30,Robert Morris,0.6
2015-04-30,Air Force,0.595
2015-04-30,Detroit Mercy,0.592
2015-04-30,Rutgers,0.585
2015-04-30,UAlbany,0.579
2015-04-30,Bucknell,0.579
2015-04-30,Hofstra,0.578
2015-04-30,Notre Dame,0.567
2015-04-30,Georgetown,0.563
2015-04-30,Navy,0.545
2015-04-30,Duke,0.537
2015-04-30,Sacred Heart,0.537
2015-04-30,VMI,0.535
2015-04-30,St. John's,0.529
2015-04-30,Hartford,0.517
2015-04-30,Binghamton,0.516
2015-04-30,Loyola Maryland,0.515
2015-04-30,Canisius,0.514
2015-04-30,Princeton,0.464
2015-04-30,UMass Lowell,0.519
2015-04-26,Saint Joseph's,0.83
2015-04-26,Richmond,0.792
