Date,Team,Faceoff Percent
2015-05-10,North Carolina,0.492
2015-05-10,Siena,0.485
2015-05-10,Mount St. Mary's,0.48
2015-05-10,Bellarmine,0.478
2015-05-10,Villanova,0.477
2015-05-10,Penn,0.476
2015-05-10,Holy Cross,0.468
2015-05-10,VMI,0.466
2015-05-10,UAlbany,0.463
2015-05-10,Delaware,0.462
2015-05-10,Virginia,0.462
2015-05-10,Lehigh,0.457
2015-05-10,Robert Morris,0.456
2015-05-10,Canisius,0.452
2015-05-10,St. John's,0.45
2015-05-10,Georgetown,0.449
2015-05-10,Detroit Mercy,0.447
2015-05-10,Michigan,0.446
2015-05-10,Princeton,0.441
2015-05-10,UMBC,0.437
2015-05-10,NJIT,0.433
2015-05-10,Marquette,0.432
2015-05-10,Bucknell,0.431
2015-05-10,Massachusetts,0.429
2015-05-10,Wagner,0.429
2015-05-10,Harvard,0.425
2015-05-10,Quinnipiac,0.424
2015-05-10,Furman,0.42
2015-05-10,Monmouth,0.402
2015-05-10,Manhattan,0.401
2015-05-10,Lafayette,0.39
2015-05-10,Hobart,0.387
2015-05-10,Providence,0.383
2015-05-10,Colgate,0.378
2015-05-10,UMass Lowell,0.216
2015-05-09,Denver,0.709
2015-05-09,Bryant,0.67
2015-05-09,Syracuse,0.66
2015-05-09,Cornell,0.657
2015-05-09,Rutgers,0.647
2015-05-09,Boston U.,0.637
2015-05-09,Hofstra,0.606
2015-05-09,Navy,0.6
2015-05-09,Brown,0.588
2015-05-09,Ohio St.,0.578
2015-05-09,Army West Point,0.57
2015-05-09,Fairfield,0.562
2015-05-09,Duke,0.562
2015-05-09,Dartmouth,0.556
2015-05-09,Loyola Maryland,0.552
2015-05-09,High Point,0.55
2015-05-09,Marist,0.546
2015-05-09,Drexel,0.54
2015-05-09,Johns Hopkins,0.536
2015-05-09,Hartford,0.534
2015-05-09,Stony Brook,0.531
2015-05-09,Binghamton,0.53
2015-05-09,Maryland,0.525
2015-05-09,Jacksonville,0.524
2015-05-09,Yale,0.523
2015-05-09,Penn St.,0.517
2015-05-09,Sacred Heart,0.516
2015-05-09,Mercer,0.514
2015-05-09,Saint Joseph's,0.512
2015-05-09,Vermont,0.511
2015-05-09,Towson,0.51
2015-05-09,Air Force,0.505
2015-05-09,Notre Dame,0.497
2015-05-09,Richmond,0.495
2015-05-09,Siena,0.485
2015-05-09,North Carolina,0.483
2015-05-09,Mount St. Mary's,0.48
2015-05-09,Bellarmine,0.478
2015-05-09,Villanova,0.477
2015-05-09,Penn,0.476
2015-05-09,Holy Cross,0.468
2015-05-09,VMI,0.466
2015-05-09,Virginia,0.466
2015-05-09,UAlbany,0.463
2015-05-09,Delaware,0.462
2015-05-09,Lehigh,0.457
2015-05-09,Robert Morris,0.456
2015-05-09,Canisius,0.452
2015-05-09,St. John's,0.45
2015-05-09,Georgetown,0.449
2015-05-09,Detroit Mercy,0.447
2015-05-09,Michigan,0.446
2015-05-09,Princeton,0.441
2015-05-09,UMBC,0.437
2015-05-09,NJIT,0.433
2015-05-09,Marquette,0.432
2015-05-09,Bucknell,0.431
2015-05-09,Massachusetts,0.429
2015-05-09,Wagner,0.429
2015-05-09,Harvard,0.425
2015-05-09,Quinnipiac,0.424
2015-05-09,Furman,0.42
2015-05-09,Monmouth,0.402
2015-05-09,Manhattan,0.401
2015-05-09,Lafayette,0.39
2015-05-09,Hobart,0.387
2015-05-09,Providence,0.383
2015-05-09,Colgate,0.375
