Date,Team,Opponent Clear Percent
2020-03-06,Towson,0.895
2020-03-06,UMBC,0.898
2020-03-06,Wagner,0.901
2020-03-06,Mercer,0.903
2020-03-06,Hartford,0.904
2020-03-06,Utah,0.906
2020-03-06,Binghamton,0.923
2020-03-06,LIU,0.926
2020-03-06,Harvard,0.927
2020-03-06,Lafayette,0.931
2020-03-06,Detroit Mercy,0.942
2020-03-06,Saint Joseph's,0.949
2020-03-06,Notre Dame,0.952
2020-03-06,Merrimack,0.857
2020-03-04,Bucknell,0.69
2020-03-04,Virginia,0.739
2020-03-04,North Carolina,0.742
2020-03-04,Jacksonville,0.747
2020-03-04,Loyola Maryland,0.752
2020-03-04,Navy,0.759
2020-03-04,Fairfield,0.76
2020-03-04,Princeton,0.765
2020-03-04,Yale,0.766
2020-03-04,Penn St.,0.766
2020-03-04,Army West Point,0.769
2020-03-04,Ohio St.,0.77
2020-03-04,Hofstra,0.775
2020-03-04,Georgetown,0.78
2020-03-04,Vermont,0.786
2020-03-04,Massachusetts,0.786
2020-03-04,Robert Morris,0.789
2020-03-04,Furman,0.798
2020-03-04,Bellarmine,0.804
2020-03-04,Syracuse,0.808
2020-03-04,Denver,0.816
2020-03-04,Penn,0.817
2020-03-04,Michigan,0.817
2020-03-04,Rutgers,0.82
2020-03-04,Stony Brook,0.821
2020-03-04,Holy Cross,0.824
2020-03-04,Cornell,0.824
2020-03-04,NJIT,0.826
2020-03-04,Lehigh,0.827
2020-03-04,Cleveland St.,0.831
2020-03-04,Siena,0.831
2020-03-04,UAlbany,0.831
2020-03-04,Brown,0.835
2020-03-04,Richmond,0.836
2020-03-04,Bryant,0.837
2020-03-04,Sacred Heart,0.838
2020-03-04,UMass Lowell,0.842
2020-03-04,Manhattan,0.843
2020-03-04,Boston U.,0.843
2020-03-04,Drexel,0.85
2020-03-04,VMI,0.857
2020-03-04,Duke,0.857
2020-03-04,Villanova,0.859
2020-03-04,Quinnipiac,0.86
2020-03-04,Dartmouth,0.86
2020-03-04,Hobart,0.863
2020-03-04,St. Bonaventure,0.872
2020-03-04,Monmouth,0.875
2020-03-04,Colgate,0.875
2020-03-04,Hampton,0.877
2020-03-04,Marist,0.877
2020-03-04,Delaware,0.879
2020-03-04,Canisius,0.882
2020-03-04,Air Force,0.882
2020-03-04,Providence,0.883
2020-03-04,Marquette,0.884
2020-03-04,Maryland,0.887
2020-03-04,Mount St. Mary's,0.887
2020-03-04,Johns Hopkins,0.89
2020-03-04,High Point,0.891
2020-03-04,St. John's,0.895
2020-03-04,Towson,0.895
2020-03-04,UMBC,0.898
2020-03-04,Wagner,0.901
2020-03-04,Mercer,0.903
2020-03-04,Hartford,0.904
2020-03-04,Utah,0.906
2020-03-04,Binghamton,0.923
2020-03-04,LIU,0.926
2020-03-04,Harvard,0.927
2020-03-04,Lafayette,0.931
2020-03-04,Detroit Mercy,0.942
2020-03-04,Saint Joseph's,0.949
2020-03-04,Notre Dame,0.952
2020-03-04,Merrimack,0.857
2020-03-03,Bucknell,0.69
2020-03-03,Virginia,0.739
2020-03-03,North Carolina,0.742
2020-03-03,Jacksonville,0.747
2020-03-03,Loyola Maryland,0.752
2020-03-03,Navy,0.759
2020-03-03,Fairfield,0.76
2020-03-03,Princeton,0.765
2020-03-03,Yale,0.766
2020-03-03,Penn St.,0.766
2020-03-03,Army West Point,0.769
2020-03-03,Ohio St.,0.77
2020-03-03,Hofstra,0.775
2020-03-03,Georgetown,0.78
2020-03-03,Massachusetts,0.785
2020-03-03,Vermont,0.786
2020-03-03,Furman,0.798
2020-03-03,Bellarmine,0.804
2020-03-03,Syracuse,0.808
2020-03-03,Denver,0.816
2020-03-03,Penn,0.817
2020-03-03,Robert Morris,0.817
2020-03-03,Michigan,0.817
2020-03-03,Rutgers,0.82
2020-03-03,Stony Brook,0.821
2020-03-03,Holy Cross,0.824
2020-03-03,Cornell,0.824
2020-03-03,NJIT,0.826
2020-03-03,Lehigh,0.827
2020-03-03,UAlbany,0.83
2020-03-03,Cleveland St.,0.831
2020-03-03,Siena,0.831
2020-03-03,Brown,0.835
2020-03-03,Richmond,0.836
2020-03-03,Bryant,0.837
2020-03-03,Sacred Heart,0.838
2020-03-03,UMass Lowell,0.842
2020-03-03,Manhattan,0.843
2020-03-03,Boston U.,0.843
2020-03-03,Drexel,0.85
2020-03-03,Duke,0.857
2020-03-03,VMI,0.857
2020-03-03,Villanova,0.859
2020-03-03,Quinnipiac,0.86
2020-03-03,Dartmouth,0.86
2020-03-03,St. Bonaventure,0.863
2020-03-03,Hobart,0.863
2020-03-03,Monmouth,0.875
2020-03-03,Colgate,0.875
2020-03-03,Hampton,0.877
2020-03-03,Marist,0.877
2020-03-03,Delaware,0.879
2020-03-03,Canisius,0.882
2020-03-03,Air Force,0.882
2020-03-03,Providence,0.883
2020-03-03,Marquette,0.884
2020-03-03,Maryland,0.887
2020-03-03,Mount St. Mary's,0.887
2020-03-03,Johns Hopkins,0.89
2020-03-03,High Point,0.891
2020-03-03,St. John's,0.895
2020-03-03,Towson,0.895
2020-03-03,Mercer,0.897
2020-03-03,UMBC,0.898
2020-03-03,Wagner,0.901
2020-03-03,Hartford,0.904
2020-03-03,Utah,0.906
2020-03-03,Binghamton,0.923
2020-03-03,LIU,0.926
2020-03-03,Harvard,0.927
2020-03-03,Lafayette,0.931
2020-03-03,Detroit Mercy,0.94
2020-03-03,Saint Joseph's,0.949
2020-03-03,Notre Dame,0.952
2020-03-03,Merrimack,0.857
2020-03-02,Bucknell,0.69
2020-03-02,Virginia,0.739
2020-03-02,North Carolina,0.742
2020-03-02,Jacksonville,0.747
2020-03-02,Loyola Maryland,0.752
2020-03-02,Navy,0.759
2020-03-02,Army West Point,0.761
2020-03-02,Princeton,0.765
2020-03-02,Yale,0.766
2020-03-02,Penn St.,0.766
2020-03-02,Ohio St.,0.77
2020-03-02,Hofstra,0.775
2020-03-02,Georgetown,0.78
2020-03-02,Fairfield,0.782
2020-03-02,Vermont,0.786
2020-03-02,Massachusetts,0.792
2020-03-02,Furman,0.798
2020-03-02,Bellarmine,0.804
2020-03-02,Syracuse,0.808
2020-03-02,Denver,0.816
2020-03-02,UAlbany,0.816
2020-03-02,Penn,0.817
2020-03-02,Robert Morris,0.817
2020-03-02,Michigan,0.817
2020-03-02,Rutgers,0.82
2020-03-02,Cornell,0.824
2020-03-02,Holy Cross,0.824
2020-03-02,NJIT,0.826
2020-03-02,Lehigh,0.827
2020-03-02,Cleveland St.,0.831
2020-03-02,Siena,0.831
2020-03-02,Sacred Heart,0.832
2020-03-02,Brown,0.835
2020-03-02,Bryant,0.837
2020-03-02,UMass Lowell,0.842
2020-03-02,Manhattan,0.843
2020-03-02,Boston U.,0.843
2020-03-02,Drexel,0.85
2020-03-02,Richmond,0.854
2020-03-02,Duke,0.857
2020-03-02,Stony Brook,0.857
2020-03-02,VMI,0.857
2020-03-02,Villanova,0.859
2020-03-02,Quinnipiac,0.86
2020-03-02,Dartmouth,0.86
2020-03-02,St. Bonaventure,0.863
2020-03-02,Hobart,0.863
2020-03-02,Colgate,0.875
2020-03-02,Monmouth,0.875
2020-03-02,Hampton,0.877
2020-03-02,Marist,0.877
2020-03-02,Delaware,0.879
2020-03-02,Mount St. Mary's,0.88
2020-03-02,Canisius,0.882
2020-03-02,Air Force,0.882
2020-03-02,UMBC,0.882
2020-03-02,Providence,0.883
2020-03-02,Marquette,0.884
2020-03-02,Maryland,0.887
2020-03-02,Johns Hopkins,0.89
2020-03-02,High Point,0.891
2020-03-02,St. John's,0.895
2020-03-02,Towson,0.895
2020-03-02,Mercer,0.897
2020-03-02,Wagner,0.901
2020-03-02,Hartford,0.902
2020-03-02,Utah,0.906
2020-03-02,Binghamton,0.916
2020-03-02,LIU,0.92
2020-03-02,Harvard,0.927
2020-03-02,Lafayette,0.931
2020-03-02,Detroit Mercy,0.94
2020-03-02,Saint Joseph's,0.949
2020-03-02,Notre Dame,0.952
2020-03-02,Merrimack,0.857
2020-03-01,Bucknell,0.69
2020-03-01,Virginia,0.739
2020-03-01,North Carolina,0.742
2020-03-01,Jacksonville,0.747
2020-03-01,Loyola Maryland,0.752
2020-03-01,Navy,0.759
2020-03-01,Army West Point,0.761
2020-03-01,Princeton,0.765
2020-03-01,Yale,0.766
2020-03-01,Penn St.,0.766
2020-03-01,Ohio St.,0.77
2020-03-01,Hofstra,0.775
2020-03-01,Georgetown,0.78
2020-03-01,Fairfield,0.782
2020-03-01,Vermont,0.786
2020-03-01,Massachusetts,0.792
2020-03-01,Furman,0.798
2020-03-01,Bellarmine,0.804
2020-03-01,Syracuse,0.808
2020-03-01,Denver,0.816
2020-03-01,UAlbany,0.816
2020-03-01,Penn,0.817
2020-03-01,Robert Morris,0.817
2020-03-01,Michigan,0.817
2020-03-01,Rutgers,0.82
2020-03-01,Cornell,0.824
2020-03-01,Holy Cross,0.824
2020-03-01,Lehigh,0.827
2020-03-01,St. Bonaventure,0.827
2020-03-01,Cleveland St.,0.831
2020-03-01,Sacred Heart,0.832
2020-03-01,Brown,0.835
2020-03-01,Bryant,0.837
2020-03-01,UMass Lowell,0.842
2020-03-01,NJIT,0.842
2020-03-01,Manhattan,0.843
2020-03-01,Boston U.,0.843
2020-03-01,Siena,0.848
2020-03-01,Drexel,0.85
2020-03-01,Richmond,0.854
2020-03-01,Duke,0.857
2020-03-01,VMI,0.857
2020-03-01,Stony Brook,0.857
2020-03-01,Villanova,0.859
2020-03-01,Quinnipiac,0.86
2020-03-01,Dartmouth,0.86
2020-03-01,Hobart,0.863
2020-03-01,Colgate,0.875
2020-03-01,Monmouth,0.875
2020-03-01,Hampton,0.877
2020-03-01,Marist,0.877
2020-03-01,Delaware,0.879
2020-03-01,Mount St. Mary's,0.88
2020-03-01,Canisius,0.882
2020-03-01,Air Force,0.882
2020-03-01,UMBC,0.882
2020-03-01,Providence,0.883
2020-03-01,Marquette,0.884
2020-03-01,Maryland,0.887
2020-03-01,Johns Hopkins,0.89
2020-03-01,Towson,0.895
2020-03-01,St. John's,0.895
2020-03-01,Mercer,0.897
2020-03-01,High Point,0.901
2020-03-01,Wagner,0.901
2020-03-01,Hartford,0.902
2020-03-01,Utah,0.906
2020-03-01,Binghamton,0.916
2020-03-01,LIU,0.92
2020-03-01,Harvard,0.927
2020-03-01,Lafayette,0.931
2020-03-01,Detroit Mercy,0.94
2020-03-01,Saint Joseph's,0.949
2020-03-01,Notre Dame,0.952
2020-03-01,Merrimack,0.857
2020-02-28,Bucknell,0.714
2020-02-28,Jacksonville,0.721
2020-02-28,North Carolina,0.724
2020-02-28,Penn St.,0.739
2020-02-28,Ohio St.,0.744
2020-02-28,Hofstra,0.753
2020-02-28,Navy,0.754
2020-02-28,Furman,0.761
2020-02-28,Virginia,0.761
2020-02-28,Vermont,0.771
2020-02-28,Denver,0.776
2020-02-28,Bellarmine,0.777
2020-02-28,Fairfield,0.78
2020-02-28,Princeton,0.783
2020-02-28,Loyola Maryland,0.786
2020-02-28,Yale,0.791
2020-02-28,Robert Morris,0.792
2020-02-28,Siena,0.797
2020-02-28,Rutgers,0.797
2020-02-28,Georgetown,0.798
2020-02-28,Syracuse,0.808
2020-02-28,Army West Point,0.809
2020-02-28,Sacred Heart,0.812
2020-02-28,Massachusetts,0.815
2020-02-28,Michigan,0.817
