Date,Team,Saves per Game
2015-05-06,Lafayette,11.07
2015-05-06,Mount St. Mary's,11.07
2015-05-06,Princeton,11.0
2015-05-06,Duke,11.0
2015-05-06,Villanova,10.93
2015-05-06,Penn,10.85
2015-05-06,Bellarmine,10.83
2015-05-06,Robert Morris,10.79
2015-05-06,Richmond,10.75
2015-05-06,Massachusetts,10.73
2015-05-06,Marquette,10.63
2015-05-06,Loyola Maryland,10.47
2015-05-06,Fairfield,10.47
2015-05-06,St. John's,10.43
2015-05-06,Syracuse,10.36
2015-05-06,Dartmouth,10.15
2015-05-06,Canisius,10.13
2015-05-06,Lehigh,10.0
2015-05-06,Binghamton,9.92
2015-05-06,Towson,9.82
2015-05-06,Bucknell,9.8
2015-05-06,Maryland,9.67
2015-05-06,Saint Joseph's,9.53
2015-05-06,Ohio St.,9.47
2015-05-06,Colgate,9.47
2015-05-06,Air Force,9.47
2015-05-06,Drexel,9.47
2015-05-06,Holy Cross,9.46
2015-05-06,Wagner,9.31
2015-05-06,Navy,9.14
2015-05-06,Denver,9.0
2015-05-06,Rutgers,9.0
2015-05-06,Johns Hopkins,9.0
2015-05-06,Army West Point,8.82
2015-05-06,Cornell,8.47
2015-05-06,Yale,8.4
2015-05-06,Stony Brook,8.33
2015-05-06,Hofstra,8.14
2015-05-06,UMass Lowell,13.0
2015-05-03,Detroit Mercy,15.14
2015-05-03,Providence,13.93
2015-05-03,Michigan,13.62
2015-05-03,Virginia,13.5
2015-05-03,Vermont,13.44
2015-05-03,Jacksonville,13.25
2015-05-03,Harvard,13.21
2015-05-03,Georgetown,13.19
2015-05-03,High Point,12.94
2015-05-03,Mercer,12.77
2015-05-03,Penn St.,12.57
2015-05-03,Furman,12.23
2015-05-03,Quinnipiac,12.2
2015-05-03,Brown,12.13
2015-05-03,Hobart,12.07
2015-05-03,Hartford,11.93
2015-05-03,Monmouth,11.86
2015-05-03,Manhattan,11.67
2015-05-03,UAlbany,11.65
2015-05-03,Boston U.,11.64
2015-05-03,Siena,11.57
2015-05-03,Delaware,11.53
2015-05-03,VMI,11.4
2015-05-03,NJIT,11.33
2015-05-03,North Carolina,11.33
2015-05-03,UMBC,11.31
2015-05-03,Notre Dame,11.17
2015-05-03,Sacred Heart,11.15
2015-05-03,Lafayette,11.07
2015-05-03,Mount St. Mary's,11.07
2015-05-03,Princeton,11.0
2015-05-03,Duke,11.0
2015-05-03,Bryant,10.94
2015-05-03,Marist,10.94
2015-05-03,Villanova,10.93
2015-05-03,Penn,10.85
2015-05-03,Bellarmine,10.83
2015-05-03,Robert Morris,10.79
2015-05-03,Richmond,10.75
2015-05-03,Massachusetts,10.73
2015-05-03,Marquette,10.63
2015-05-03,Loyola Maryland,10.47
2015-05-03,Fairfield,10.47
2015-05-03,St. John's,10.43
2015-05-03,Syracuse,10.36
2015-05-03,Dartmouth,10.15
2015-05-03,Canisius,10.13
2015-05-03,Lehigh,10.0
2015-05-03,Binghamton,9.92
2015-05-03,Towson,9.88
2015-05-03,Bucknell,9.8
2015-05-03,Maryland,9.67
2015-05-03,Saint Joseph's,9.53
2015-05-03,Ohio St.,9.47
2015-05-03,Colgate,9.47
2015-05-03,Air Force,9.47
2015-05-03,Drexel,9.47
2015-05-03,Holy Cross,9.46
2015-05-03,Wagner,9.31
2015-05-03,Navy,9.14
2015-05-03,Denver,9.0
2015-05-03,Rutgers,9.0
2015-05-03,Johns Hopkins,9.0
2015-05-03,Army West Point,8.82
