Date,Team,Groundballs per Game
2015-05-10,Delaware,26.27
2015-05-10,Mount St. Mary's,26.2
2015-05-10,Binghamton,25.85
2015-05-10,Holy Cross,25.69
2015-05-10,Colgate,25.69
2015-05-10,Canisius,25.27
2015-05-10,Marquette,24.88
2015-05-10,UMBC,24.54
2015-05-10,Monmouth,23.0
2015-05-10,NJIT,22.5
2015-05-10,Villanova,22.5
2015-05-10,Manhattan,22.47
2015-05-10,Wagner,22.31
2015-05-10,Hobart,22.29
2015-05-10,Furman,21.69
2015-05-10,UMass Lowell,27.5
2015-05-09,Brown,39.19
2015-05-09,UAlbany,39.0
2015-05-09,North Carolina,38.13
2015-05-09,Duke,37.0
2015-05-09,Cornell,35.81
2015-05-09,Vermont,35.13
2015-05-09,Stony Brook,34.11
2015-05-09,Syracuse,33.79
2015-05-09,Rutgers,32.47
2015-05-09,Virginia,32.21
2015-05-09,Richmond,32.19
2015-05-09,Navy,32.0
2015-05-09,Hartford,31.93
2015-05-09,Dartmouth,31.85
2015-05-09,Notre Dame,31.85
2015-05-09,Loyola Maryland,31.0
2015-05-09,Harvard,30.93
2015-05-09,Boston U.,30.86
2015-05-09,Denver,30.73
2015-05-09,Bryant,30.61
2015-05-09,Saint Joseph's,30.59
2015-05-09,Georgetown,30.25
2015-05-09,St. John's,30.21
2015-05-09,Marist,29.82
2015-05-09,High Point,29.71
2015-05-09,Johns Hopkins,29.67
2015-05-09,Lehigh,29.44
2015-05-09,Siena,29.36
2015-05-09,Quinnipiac,29.0
2015-05-09,Penn,28.92
2015-05-09,Army West Point,28.53
2015-05-09,Fairfield,28.47
2015-05-09,Ohio St.,28.22
2015-05-09,Detroit Mercy,28.21
2015-05-09,Sacred Heart,28.15
2015-05-09,Hofstra,27.86
2015-05-09,Drexel,27.73
2015-05-09,Michigan,27.62
2015-05-09,Penn St.,27.57
2015-05-09,Yale,27.38
2015-05-09,Princeton,27.27
2015-05-09,Towson,27.11
2015-05-09,Mercer,27.08
2015-05-09,Maryland,26.88
2015-05-09,Lafayette,26.79
2015-05-09,VMI,26.73
2015-05-09,Bellarmine,26.67
2015-05-09,Robert Morris,26.64
2015-05-09,Providence,26.64
2015-05-09,Bucknell,26.6
2015-05-09,Jacksonville,26.58
2015-05-09,Massachusetts,26.33
2015-05-09,Air Force,26.27
2015-05-09,Delaware,26.27
2015-05-09,Mount St. Mary's,26.2
2015-05-09,Binghamton,25.85
2015-05-09,Holy Cross,25.69
2015-05-09,Colgate,25.53
2015-05-09,Canisius,25.27
2015-05-09,Marquette,24.88
2015-05-09,UMBC,24.54
2015-05-09,Monmouth,23.0
2015-05-09,NJIT,22.5
2015-05-09,Villanova,22.5
2015-05-09,Manhattan,22.47
2015-05-09,Wagner,22.31
2015-05-09,Hobart,22.29
2015-05-09,Furman,21.69
2015-05-09,UMass Lowell,27.5
2015-05-06,UAlbany,39.65
2015-05-06,Brown,39.19
2015-05-06,North Carolina,38.13
2015-05-06,Duke,37.0
2015-05-06,Cornell,35.47
2015-05-06,Vermont,35.13
2015-05-06,Stony Brook,34.11
2015-05-06,Syracuse,33.79
2015-05-06,Rutgers,32.47
2015-05-06,Virginia,32.21
2015-05-06,Richmond,32.19
2015-05-06,Navy,32.0
2015-05-06,Hartford,31.93
2015-05-06,Dartmouth,31.85
2015-05-06,Loyola Maryland,31.0
2015-05-06,Harvard,30.93
2015-05-06,Boston U.,30.86
2015-05-06,Denver,30.73
2015-05-06,Notre Dame,30.67
2015-05-06,Bryant,30.61
2015-05-06,Saint Joseph's,30.59
2015-05-06,Georgetown,30.25
2015-05-06,St. John's,30.21
2015-05-06,Marist,29.82
2015-05-06,High Point,29.71
2015-05-06,Johns Hopkins,29.67
2015-05-06,Lehigh,29.44
2015-05-06,Siena,29.36
2015-05-06,Quinnipiac,29.0
2015-05-06,Penn,28.92
2015-05-06,Army West Point,28.53
2015-05-06,Fairfield,28.47
2015-05-06,Detroit Mercy,28.21
2015-05-06,Ohio St.,28.18
2015-05-06,Sacred Heart,28.15
2015-05-06,Yale,28.07
2015-05-06,Hofstra,27.86
2015-05-06,Drexel,27.73
2015-05-06,Michigan,27.62
2015-05-06,Penn St.,27.57
2015-05-06,Towson,27.35
2015-05-06,Princeton,27.27
2015-05-06,Mercer,27.08
2015-05-06,Lafayette,26.79
2015-05-06,VMI,26.73
2015-05-06,Maryland,26.67
2015-05-06,Bellarmine,26.67
2015-05-06,Robert Morris,26.64
2015-05-06,Providence,26.64
2015-05-06,Bucknell,26.6
2015-05-06,Jacksonville,26.58
