Date,Year,Team 1,Score 1,Team 2,Score 2,Winner
2017-03-07,2017,VMI,8,Wagner,11,Wagner
2017-03-07,2017,Massachusetts,11,Yale,9,Massachusetts
2017-03-07,2017,Manhattan,9,Delaware,12,Delaware
2017-03-07,2017,Quinnipiac,13,Princeton,17,Princeton
2017-03-07,2017,Robert Morris,7,Georgetown,12,Georgetown
2017-03-07,2017,Binghamton,10,Siena,5,Binghamton
2017-03-10,2017,Mercer,10,NJIT,7,Mercer
2017-03-10,2017,Stony Brook,4,Rutgers,17,Rutgers
2017-03-10,2017,Bryant,5,Drexel,7,Drexel
2017-03-10,2017,Monmouth,5,Saint Joseph's,6,Saint Joseph's
2017-03-10,2017,Hampton,3,Wagner,10,Wagner
2017-03-11,2017,Loyola Maryland,7,Duke,15,Duke
2017-03-11,2017,UMBC,6,Marist,4,UMBC
2017-03-11,2017,Johns Hopkins,8,Towson,13,Towson
2017-03-11,2017,Fairfield,10,Yale,11,Yale
2017-03-11,2017,Hofstra,11,North Carolina,9,Hofstra
2017-03-11,2017,Mt. St. Mary's,18,Bellarmine,7,Mt. St. Mary's
2017-03-11,2017,Detroit,8,Air Force,13,Air Force
2017-03-11,2017,Cleveland St.,4,Ohio St.,12,Ohio St.
2017-03-11,2017,Syracuse,9,St. John's (NY),8,Syracuse
2017-03-11,2017,Hartford,11,Quinnipiac,9,Hartford
2017-03-11,2017,Mass.-Lowell,13,Manhattan,6,Mass.-Lowell
2017-03-11,2017,Vermont,11,Sacred Heart,10,Vermont
2017-03-11,2017,Penn St.,15,Harvard,12,Penn St.
2017-03-11,2017,Binghamton,13,Delaware,9,Binghamton
2017-03-11,2017,Cornell,18,Virginia,19,Virginia
2017-03-11,2017,Penn,12,Michigan,13,Michigan
2017-03-11,2017,High Point,8,Providence,17,Providence
2017-03-11,2017,VMI,8,Richmond,13,Richmond
2017-03-11,2017,Marquette,14,Robert Morris,7,Marquette
2017-03-11,2017,Georgetown,16,Hobart,6,Georgetown
2017-03-11,2017,Army,6,Lehigh,4,Army
2017-03-11,2017,Navy,8,Lafayette,9,Lafayette
2017-03-11,2017,Holy Cross,10,Bucknell,8,Holy Cross
2017-03-12,2017,Mercer,6,Wagner,5,Mercer
2017-03-12,2017,Saint Joseph's,8,Drexel,12,Drexel
2017-03-12,2017,Notre Dame,10,Denver,11,Denver
2017-03-13,2017,Boston U.,18,Colgate,7,Boston U.
2017-03-13,2017,Jacksonville,6,Duke,13,Duke
2017-03-13,2017,Richmond,6,North Carolina,5,Richmond
2017-03-13,2017,NJIT,6,Army,19,Army
2017-03-13,2017,Siena,13,Bryant,18,Bryant
2017-03-14,2017,Canisius,11,Hobart,18,Hobart
2017-03-17,2017,High Point,11,VMI,5,High Point
2017-03-17,2017,Rutgers,10,NJIT,6,Rutgers
2017-03-17,2017,Fairfield,8,Penn St.,9,Penn St.
2017-03-18,2017,Navy,7,Loyola Maryland,18,Loyola Maryland
2017-03-18,2017,Albany (NY),17,Vermont,6,Albany (NY)
2017-03-18,2017,Massachusetts,12,Hartford,10,Massachusetts
2017-03-18,2017,Bryant,5,Mt. St. Mary's,6,Mt. St. Mary's
2017-03-18,2017,Wagner,5,Hobart,17,Hobart
2017-03-18,2017,Robert Morris,12,Sacred Heart,9,Robert Morris
2017-03-18,2017,Saint Joseph's,7,Delaware,12,Delaware
2017-03-18,2017,Monmouth,8,Quinnipiac,7,Monmouth
2017-03-18,2017,Marist,6,Canisius,17,Canisius
