Date,Year,Team 1,Score 1,Team 2,Score 2,Winner,Team 1 Assists per Game,Team 2 Assists per Game,Team 1 Caused Turnovers per Game,Team 2 Caused Turnovers per Game,Team 1 Clearing Percent,Team 2 Clearing Percent,Team 1 Faceoff Percent,Team 2 Faceoff Percent,Team 1 Groundballs per Game,Team 2 Groundballs per Game,Team 1 Man Down Defense Percent,Team 2 Man Down Defense Percent,Team 1 Man Up Offense Percent,Team 2 Man Up Offense Percent,Team 1 Opponent Clear Percent,Team 2 Opponent Clear Percent,Team 1 Goals per Game,Team 2 Goals per Game,Team 1 Saves per Game,Team 2 Saves per Game,Team 1 Goals Allowed per Game,Team 2 Goals Allowed per Game,Team 1 Average Margin,Team 2 Average Margin,Team 1 Shot Percent,Team 2 Shot Percent,Team 1 Turnovers per Game,Team 2 Turnovers per Game,Team 1 RPI,Team 2 RPI,Team 1 Save Percent,Team 2 Save Percent,Team 1 Games Played,Team 2 Games Played,Team 1 Assists per Game Total,Team 1 Caused Turnovers per Game Total,Team 1 Clearing Percent Total,Team 1 Faceoff Percent Total,Team 1 Groundballs per Game Total,Team 1 Man Down Defense Percent Total,Team 1 Man Up Offense Percent Total,Team 1 Opponent Clear Percent Total,Team 1 Goals per Game Total,Team 1 Goals Allowed per Game Total,Team 1 Average Margin Total,Team 1 Shot Percent Total,Team 1 Turnovers per Game Total,Team 1 Save Percent Total,Team 1 RPI Total,Team 2 Assists per Game Total,Team 2 Caused Turnovers per Game Total,Team 2 Clearing Percent Total,Team 2 Faceoff Percent Total,Team 2 Groundballs per Game Total,Team 2 Man Down Defense Percent Total,Team 2 Man Up Offense Percent Total,Team 2 Opponent Clear Percent Total,Team 2 Goals per Game Total,Team 2 Goals Allowed per Game Total,Team 2 Average Margin Total,Team 2 Shot Percent Total,Team 2 Turnovers per Game Total,Team 2 Save Percent Total,Team 2 RPI Total,Team 1 Assists per Game RollingAvg_3,Team 1 Caused Turnovers per Game RollingAvg_3,Team 1 Clearing Percent RollingAvg_3,Team 1 Faceoff Percent RollingAvg_3,Team 1 Groundballs per Game RollingAvg_3,Team 1 Man Down Defense Percent RollingAvg_3,Team 1 Man Up Offense Percent RollingAvg_3,Team 1 Opponent Clear Percent RollingAvg_3,Team 1 Goals per Game RollingAvg_3,Team 1 Goals Allowed per Game RollingAvg_3,Team 1 Average Margin RollingAvg_3,Team 1 Shot Percent RollingAvg_3,Team 1 Turnovers per Game RollingAvg_3,Team 1 Save Percent RollingAvg_3,Team 1 RPI RollingAvg_3,Team 2 Assists per Game RollingAvg_3,Team 2 Caused Turnovers per Game RollingAvg_3,Team 2 Clearing Percent RollingAvg_3,Team 2 Faceoff Percent RollingAvg_3,Team 2 Groundballs per Game RollingAvg_3,Team 2 Man Down Defense Percent RollingAvg_3,Team 2 Man Up Offense Percent RollingAvg_3,Team 2 Opponent Clear Percent RollingAvg_3,Team 2 Goals per Game RollingAvg_3,Team 2 Goals Allowed per Game RollingAvg_3,Team 2 Average Margin RollingAvg_3,Team 2 Shot Percent RollingAvg_3,Team 2 Turnovers per Game RollingAvg_3,Team 2 Save Percent RollingAvg_3,Team 2 RPI RollingAvg_3
2017-02-11,2017,marist,12.0,colgate,8.0,marist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-11,2017,wagner,13.0,manhattan,14.0,manhattan,,6.0,,1.0,,0.833,,0.581,,29.0,,0.25,,0.25,,,,10.0,,16.0,,17.0,,-7.0,,0.294,,18.0,,0.0,,0.48484848484848486,0,1,,,,,,,,,,,,,,,,6.0,1.0,0.833,0.581,29.0,0.25,0.25,,10.0,17.0,-7.0,0.294,18.0,0.48484848484848486,0.0,,,,,,,,,,,,,,,,6.0,1.0,0.833,0.581,29.0,0.25,0.25,,10.0,17.0,-7.0,0.294,18.0,0.48484848484848486,0.0
2017-02-11,2017,bryant,8.0,bucknell,9.0,bucknell,11.0,9.0,8.0,5.0,0.882,0.917,0.419,0.586,25.0,31.0,0.75,0.667,0.75,0.6,,,17.0,14.0,10.0,9.0,10.0,13.0,7.0,1.0,0.362,0.259,12.0,6.0,0.25,0.25,0.5,0.4090909090909091,1,1,11.0,8.0,0.882,0.419,25.0,0.75,0.75,,17.0,10.0,7.0,0.362,12.0,0.5,0.25,9.0,5.0,0.917,0.586,31.0,0.667,0.6,,14.0,13.0,1.0,0.259,6.0,0.4090909090909091,0.25,11.0,8.0,0.882,0.419,25.0,0.75,0.75,,17.0,10.0,7.0,0.362,12.0,0.5,0.25,9.0,5.0,0.917,0.586,31.0,0.667,0.6,,14.0,13.0,1.0,0.259,6.0,0.4090909090909091,0.25
2017-02-11,2017,delaware,18.0,mount st. mary's,5.0,delaware,6.0,,2.0,,0.8,,0.414,,26.0,,0.4,,0.333,,,,13.0,,13.0,,14.0,,-1.0,,0.371,,9.0,,0.0,,0.48148148148148145,,1,0,6.0,2.0,0.8,0.414,26.0,0.4,0.333,,13.0,14.0,-1.0,0.371,9.0,0.48148148148148145,0.0,,,,,,,,,,,,,,,,6.0,2.0,0.8,0.414,26.0,0.4,0.333,,13.0,14.0,-1.0,0.371,9.0,0.48148148148148145,0.0,,,,,,,,,,,,,,,
2017-02-11,2017,monmouth,12.0,villanova,10.0,monmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-11,2017,fairfield,3.0,richmond,15.0,richmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-11,2017,penn st.,21.0,hobart,15.0,penn st.,11.0,,8.0,,0.933,,0.7,,32.0,,,,0.333,,,,15.0,,11.0,,11.0,,4.0,,0.385,,11.0,,0.25,,0.5,,1,0,11.0,8.0,0.933,0.7,32.0,,0.333,,15.0,11.0,4.0,0.385,11.0,0.5,0.25,,,,,,,,,,,,,,,,11.0,8.0,0.933,0.7,32.0,,0.333,,15.0,11.0,4.0,0.385,11.0,0.5,0.25,,,,,,,,,,,,,,,
2017-02-11,2017,rutgers,16.0,st. john's,8.0,rutgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-11,2017,siena,6.0,syracuse,19.0,syracuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-11,2017,lafayette,6.0,michigan,17.0,michigan,,8.0,,4.0,,1.0,,0.6,,28.0,,0.8,,,,,,13.0,,15.0,,8.0,,5.0,,0.361,,11.0,,0.25,,0.6521739130434783,0,1,,,,,,,,,,,,,,,,8.0,4.0,1.0,0.6,28.0,0.8,,,13.0,8.0,5.0,0.361,11.0,0.6521739130434783,0.25,,,,,,,,,,,,,,,,8.0,4.0,1.0,0.6,28.0,0.8,,,13.0,8.0,5.0,0.361,11.0,0.6521739130434783,0.25
2017-02-14,2017,georgetown,3.0,high point,9.0,high point,,3.0,,4.0,,0.923,,0.263,,16.0,,0.5,,0.5,,,,5.0,,11.0,,10.0,,-5.0,,0.192,,11.0,,0.0,,0.5238095238095238,0,1,,,,,,,,,,,,,,,,3.0,4.0,0.923,0.263,16.0,0.5,0.5,,5.0,10.0,-5.0,0.192,11.0,0.5238095238095238,0.0,,,,,,,,,,,,,,,,3.0,4.0,0.923,0.263,16.0,0.5,0.5,,5.0,10.0,-5.0,0.192,11.0,0.5238095238095238,0.0
2017-02-14,2017,maryland,16.0,saint joseph's,8.0,maryland,9.0,,6.0,,1.0,,0.3,,31.0,,,,,,,,15.0,,12.0,,12.0,,3.0,,0.417,,11.0,,0.25,,0.5,,1,0,9.0,6.0,1.0,0.3,31.0,,,,15.0,12.0,3.0,0.417,11.0,0.5,0.25,,,,,,,,,,,,,,,,9.0,6.0,1.0,0.3,31.0,,,,15.0,12.0,3.0,0.417,11.0,0.5,0.25,,,,,,,,,,,,,,,
2017-02-14,2017,stony brook,12.0,sacred heart,11.0,stony brook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
