Date,Year,Team 1,Score 1,Team 2,Score 2,Winner,Team 1 Assists per Game,Team 2 Assists per Game,Team 1 Caused Turnovers per Game,Team 2 Caused Turnovers per Game,Team 1 Clearing Percent,Team 2 Clearing Percent,Team 1 Faceoff Percent,Team 2 Faceoff Percent,Team 1 Groundballs per Game,Team 2 Groundballs per Game,Team 1 Man Down Defense Percent,Team 2 Man Down Defense Percent,Team 1 Man Up Offense Percent,Team 2 Man Up Offense Percent,Team 1 Opponent Clear Percent,Team 2 Opponent Clear Percent,Team 1 Goals per Game,Team 2 Goals per Game,Team 1 Saves per Game,Team 2 Saves per Game,Team 1 Goals Allowed per Game,Team 2 Goals Allowed per Game,Team 1 Average Margin,Team 2 Average Margin,Team 1 Shot Percent,Team 2 Shot Percent,Team 1 Turnovers per Game,Team 2 Turnovers per Game
2017-02-18,2017,lehigh,8.0,north carolina,15.0,north carolina,7.5,6.0,8.0,8.5,0.862,0.889,0.68,0.732,38.0,34.5,0.727,0.857,0.5,0.667,,,14.0,12.0,10.0,8.5,8.5,4.5,5.5,7.5,0.311,0.304,11.5,15.5
2017-02-18,2017,navy,11.0,delaware,5.0,navy,6.0,7.5,9.0,3.5,0.767,0.857,0.625,0.545,33.5,30.0,0.25,0.5,0.667,0.571,,,10.0,15.5,10.5,10.5,15.0,9.5,-5.0,6.0,0.317,0.392,17.0,11.0
2017-02-18,2017,army west point,10.0,rutgers,12.0,rutgers,3.0,5.0,10.0,9.0,0.917,0.909,0.667,0.346,33.0,36.0,1.0,0.5,0.333,,,,9.0,16.0,7.0,10.0,2.0,8.0,7.0,8.0,0.257,0.34,14.0,8.0
2017-02-18,2017,providence,0.0,bryant,0.0,bryant,6.0,8.5,8.0,8.5,0.837,0.882,0.703,0.38,31.0,25.5,0.727,0.75,0.375,0.75,,,8.5,12.5,10.5,10.5,6.0,9.5,2.5,3.0,0.23,0.347,18.0,15.0
2017-02-19,2017,quinnipiac,9.0,brown,25.0,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-19,2017,stony brook,14.0,st. john's,5.0,stony brook,4.0,4.0,7.0,2.0,1.0,0.813,0.444,0.654,28.0,28.0,0.667,1.0,0.4,0.5,,,12.0,8.0,11.0,15.0,11.0,16.0,1.0,-8.0,0.308,0.25,14.0,16.0
2017-02-20,2017,vmi,5.0,army west point,20.0,army,,3.0,,10.0,,0.921,,0.561,,32.0,,0.6,,0.25,,,,9.5,,8.0,,7.0,,2.5,,0.244,,13.5
2017-02-25,2017,army west point,14.0,syracuse,13.0,army,4.0,11.5,8.0,6.0,0.922,0.952,0.671,0.7,36.67,38.0,0.667,0.667,0.3,0.5,,,13.0,14.5,9.0,9.5,6.33,7.5,6.67,7.0,0.293,0.293,13.0,9.5
2017-02-25,2017,njit,8.0,vmi,9.0,vmi,3.5,,6.0,5.0,0.781,0.75,0.193,0.2,24.0,21.0,,0.5,0.286,,,,6.5,5.0,12.0,17.0,18.5,20.0,-12.0,-15.0,0.271,0.172,11.0,8.0
2017-02-25,2017,johns hopkins,13.0,north carolina,5.0,johns hopkins,6.67,6.67,9.0,7.67,0.923,0.904,0.432,0.667,27.33,32.67,0.571,0.818,0.833,0.286,,,14.67,13.0,6.67,9.0,8.67,5.67,6.0,7.33,0.367,0.328,8.33,15.33
